"gene.ID","log2FoldChange","up","down","Effect","gene.annotation"
"PGEN_.00g017130",-2.88452337623814,FALSE,TRUE,"Day21_primary","Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR)"
"PGEN_.00g018560",6.47198272699409,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g018570",7.01893207805439,TRUE,FALSE,"Day14_primary","Mammalian ependymin-related protein 1 (MERP-1)"
"PGEN_.00g019450",3.85456191821706,TRUE,FALSE,"Day14_primary","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"PGEN_.00g020160",3.4384406566115,TRUE,FALSE,"Day14_primary","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)"
"PGEN_.00g020410",-2.77835172592961,FALSE,TRUE,"Day21_primary","Protein Smaug homolog 1 (Smaug 1) (hSmaug1) (Sterile alpha motif domain-containing protein 4A) (SAM domain-containing protein 4A)"
"PGEN_.00g021440",-0.929473899757252,FALSE,TRUE,"Day7_second","Sphingosine-1-phosphate phosphatase 1 (SPPase1) (Spp1) (hSPP1) (hSPPase1) (EC 3.1.3.-) (Sphingosine-1-phosphatase 1) (Sphingosine-1-phosphate phosphohydrolase 1) (SPP-1)"
"PGEN_.00g021830",1.47193287600516,TRUE,FALSE,"Day14_primary","Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]"
"PGEN_.00g022820",-0.965581994725351,FALSE,TRUE,"Day7_second","Synaptosomal-associated protein 25 (SNAP-25) (Synaptosomal-associated 25 kDa protein)"
"PGEN_.00g023050",3.48767856457907,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g023670",2.46193031487702,TRUE,FALSE,"Day14_primary","Tyrosine-protein kinase receptor torso (EC 2.7.10.1)"
"PGEN_.00g024970",4.44576629390343,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g025020",-1.64387543606812,TRUE,FALSE,"Day0_primary",NA
"PGEN_.00g025020",2.64432185529061,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g025030",2.34941417551461,TRUE,FALSE,"Day14_primary","Protein crumbs homolog 1"
"PGEN_.00g025680",0.876685623438288,TRUE,FALSE,"Day7_second","N-alpha-acetyltransferase 40 (EC 2.3.1.257) (N-acetyltransferase 11) (N-alpha-acetyltransferase D) (NatD)"
"PGEN_.00g026050",5.92015831526412,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g026070",6.3191592819713,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g026190",-1.18986173532966,FALSE,TRUE,"Day7_second","Thyroid receptor-interacting protein 11 (TR-interacting protein 11) (TRIP-11) (Clonal evolution-related gene on chromosome 14 protein) (Golgi-associated microtubule-binding protein 210) (GMAP-210) (Trip230)"
"PGEN_.00g026190",2.09691170144367,TRUE,FALSE,"Day14_primary","Thyroid receptor-interacting protein 11 (TR-interacting protein 11) (TRIP-11) (Clonal evolution-related gene on chromosome 14 protein) (Golgi-associated microtubule-binding protein 210) (GMAP-210) (Trip230)"
"PGEN_.00g026190",-0.795785884464197,FALSE,TRUE,"Day7_MAversusAM","Thyroid receptor-interacting protein 11 (TR-interacting protein 11) (TRIP-11) (Clonal evolution-related gene on chromosome 14 protein) (Golgi-associated microtubule-binding protein 210) (GMAP-210) (Trip230)"
"PGEN_.00g027390",5.90426481749975,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g027450",-1.28026523914538,FALSE,TRUE,"Day14_primary","Neuronal PAS domain-containing protein 3 (Neuronal PAS3) (Basic-helix-loop-helix-PAS protein MOP6) (Member of PAS protein 6)"
"PGEN_.00g027620",2.17650575893921,TRUE,FALSE,"Day14_primary","V-type proton ATPase subunit D (V-ATPase subunit D) (Vacuolar proton pump subunit D)"
"PGEN_.00g027970",5.21857676833607,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g027970",5.08380624512367,TRUE,FALSE,"Day21_primary",NA
"PGEN_.00g027970",3.3373308258747,TRUE,FALSE,"Day7_primary",NA
"PGEN_.00g027970",-1.51467317472196,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g028100",1.41235132050486,TRUE,FALSE,"Day7_primary","HHIP-like protein 1"
"PGEN_.00g029510",-3.85261685241532,FALSE,TRUE,"Day21_primary","Microfibril-associated glycoprotein 4"
"PGEN_.00g029620",4.9812747190141,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g029620",-1.97789315747098,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g029620",3.65710976199962,TRUE,FALSE,"Day7_primary",NA
"PGEN_.00g029740",2.32720715457824,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g030460",-1.04573214579291,FALSE,TRUE,"Day7_primary","Pleckstrin homology domain-containing family D member 1 (PH domain-containing family D member 1)"
"PGEN_.00g031270",-1.77198889647402,FALSE,TRUE,"Day14_primary","Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1)"
"PGEN_.00g031490",-2.00289551797506,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g031490",5.00658744598722,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g033640",-2.7188860855933,FALSE,TRUE,"Day7_second","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"PGEN_.00g033640",5.13922400071169,TRUE,FALSE,"Day14_primary","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"PGEN_.00g033640",7.58548826538643,TRUE,FALSE,"Day21_primary","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"PGEN_.00g033640",-2.14430714970464,FALSE,TRUE,"Day7_MAversusAM","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"PGEN_.00g033950",-1.32040712954424,FALSE,TRUE,"Day7_primary",NA
"PGEN_.00g035190",-2.23954173031812,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g035190",-2.94523514293338,FALSE,TRUE,"Day7_second",NA
"PGEN_.00g035190",6.12831758053369,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g035820",3.09291007253283,TRUE,FALSE,"Day7_primary","Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]"
"PGEN_.00g035820",-2.1770025246541,FALSE,TRUE,"Day7_MAversusAM","Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]"
"PGEN_.00g035820",-2.58664736327725,FALSE,TRUE,"Day7_second","Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]"
"PGEN_.00g035820",3.92744080580301,TRUE,FALSE,"Day14_primary","Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]"
"PGEN_.00g037050",-1.70656880675426,FALSE,TRUE,"Day7_second","Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2)"
"PGEN_.00g037050",-1.16200986334438,FALSE,TRUE,"Day7_MAversusAM","Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2)"
"PGEN_.00g037080",-2.10044540054221,FALSE,TRUE,"Day14_primary","Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q (EC 2.4.1.198) (MGpi1p) (N-acetylglucosamyl transferase component GPI1) (Phosphatidylinositol-glycan biosynthesis class Q protein) (PIG-Q)"
"PGEN_.00g037730",-11.4458870613213,FALSE,TRUE,"Day21_primary","Small G protein signaling modulator 3 homolog (RUN and TBC1 domain-containing protein 3)"
"PGEN_.00g037730",2.36122639338935,TRUE,FALSE,"Day7_MAversusAM","Small G protein signaling modulator 3 homolog (RUN and TBC1 domain-containing protein 3)"
"PGEN_.00g038400",4.44985582898672,TRUE,FALSE,"Day14_primary","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Plasmin light chain B] (Fragment)"
"PGEN_.00g038430",3.07411507362055,TRUE,FALSE,"Day14_primary","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)"
"PGEN_.00g038510",3.07709352663842,TRUE,FALSE,"Day14_primary","L-threonine 3-dehydrogenase (TDH) (EC 1.1.1.103)"
"PGEN_.00g039120",-2.9975903162434,FALSE,TRUE,"Day7_MAversusAM","Heavy metal-binding protein HIP"
"PGEN_.00g039120",4.44130860847589,TRUE,FALSE,"Day7_primary","Heavy metal-binding protein HIP"
"PGEN_.00g039120",5.81907483552502,TRUE,FALSE,"Day14_primary","Heavy metal-binding protein HIP"
"PGEN_.00g039480",4.04693438738841,TRUE,FALSE,"Day7_primary",NA
"PGEN_.00g039480",-1.96687320331669,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g039520",4.55571163534232,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g039930",-1.77669291494581,FALSE,TRUE,"Day7_primary","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1)"
"PGEN_.00g040690",6.05816863876941,TRUE,FALSE,"Day14_primary","L-xylulose reductase (XR) (EC 1.1.1.10) (Dicarbonyl/L-xylulose reductase)"
"PGEN_.00g040950",4.93721024163032,TRUE,FALSE,"Day14_primary","Perlucin"
"PGEN_.00g041430",3.34358476253888,TRUE,FALSE,"Day14_primary","S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2) (Methionine adenosyltransferase II) (MAT-II)"
"PGEN_.00g041780",4.20834184141234,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g042190",2.62713621928117,TRUE,FALSE,"Day14_primary","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)"
"PGEN_.00g042540",-3.52137468019994,FALSE,TRUE,"Day14_primary","Prestin (Solute carrier family 26 member 5)"
"PGEN_.00g043690",-2.37312366206295,FALSE,TRUE,"Day14_primary","Fidgetin-like protein 1 (EC 3.6.4.-)"
"PGEN_.00g044180",-1.87270714405838,FALSE,TRUE,"Day7_second","Folliculin-interacting protein 1"
"PGEN_.00g045080",-5.57531220631822,FALSE,TRUE,"Day14_primary","Putative tyrosinase-like protein tyr-3"
"PGEN_.00g045080",1.70825329863088,TRUE,FALSE,"Day7_MAversusAM","Putative tyrosinase-like protein tyr-3"
"PGEN_.00g046020",-3.97966286911644,FALSE,TRUE,"Day7_second","Ependymin-related protein 2"
"PGEN_.00g046020",3.8491925823774,TRUE,FALSE,"Day14_primary","Ependymin-related protein 2"
"PGEN_.00g046020",-2.55808709387947,FALSE,TRUE,"Day7_MAversusAM","Ependymin-related protein 2"
"PGEN_.00g046530",-0.95495823850227,FALSE,TRUE,"Day14_primary","Trinucleotide repeat-containing gene 6A protein"
"PGEN_.00g046580",-1.0097296807247,FALSE,TRUE,"Day7_second","V-type proton ATPase 116 kDa subunit a isoform 4 (V-ATPase 116 kDa isoform a4) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 4) (Vacuolar proton translocating ATPase 116 kDa subunit a kidney isoform)"
"PGEN_.00g046580",-0.58535065175185,FALSE,TRUE,"Day7_MAversusAM","V-type proton ATPase 116 kDa subunit a isoform 4 (V-ATPase 116 kDa isoform a4) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 4) (Vacuolar proton translocating ATPase 116 kDa subunit a kidney isoform)"
"PGEN_.00g046630",3.86706867435497,TRUE,FALSE,"Day14_primary","L-rhamnonate dehydratase (RhamD) (EC 4.2.1.90)"
"PGEN_.00g046720",4.15713989395708,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g046720",3.53277441846146,TRUE,FALSE,"Day7_primary",NA
"PGEN_.00g047200",4.18426020414649,TRUE,FALSE,"Day14_primary","Trypsin beta (EC 3.4.21.4)"
"PGEN_.00g047200",-1.73452019285266,FALSE,TRUE,"Day7_MAversusAM","Trypsin beta (EC 3.4.21.4)"
"PGEN_.00g047650",-1.49058996789905,FALSE,TRUE,"Day14_primary","Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)"
"PGEN_.00g047760",-0.884470568674038,FALSE,TRUE,"Day14_primary","Histone acetyltransferase KAT6B (EC 2.3.1.48) (Histone acetyltransferase MOZ2) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4) (MYST-4) (Monocytic leukemia zinc finger protein-related factor)"
"PGEN_.00g048000",-1.8267393477192,FALSE,TRUE,"Day7_MAversusAM","Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Palmitoyl-CoA ligase) (Phytanate--CoA ligase) (EC 6.2.1.24)"
"PGEN_.00g048000",3.65586904695558,TRUE,FALSE,"Day14_primary","Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Palmitoyl-CoA ligase) (Phytanate--CoA ligase) (EC 6.2.1.24)"
"PGEN_.00g048440",-1.82731226320987,FALSE,TRUE,"Day7_MAversusAM",NA
"PGEN_.00g048440",6.65303347234177,TRUE,FALSE,"Day21_primary",NA
"PGEN_.00g048610",-2.0966068431026,FALSE,TRUE,"Day21_primary","Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]"
"PGEN_.00g048660",1.75242200017486,TRUE,FALSE,"Day7_second","Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (Cut up protein)"
"PGEN_.00g048970",2.17752483588079,TRUE,FALSE,"Day14_primary","Marginal zone B- and B1-cell-specific protein (Plasma cell-induced resident endoplasmic reticulum protein) (Plasma cell-induced resident ER protein) (pERp1) (Proapoptotic caspase adapter protein)"
"PGEN_.00g049160",-0.854051931958809,FALSE,TRUE,"Day7_primary",NA
"PGEN_.00g049360",4.96965695612827,TRUE,FALSE,"Day14_primary","Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)"
"PGEN_.00g049840",5.75182754523503,TRUE,FALSE,"Day21_primary","Meprin A subunit alpha (EC 3.4.24.18) (Endopeptidase-2) (Endopeptidase-24.18 subunit alpha) (E-24.18) (MEP-1)"
"PGEN_.00g050040",4.75638282832972,TRUE,FALSE,"Day14_primary","Hephaestin-like protein (EC 1.-.-.-)"
"PGEN_.00g050060",-1.81606360045569,FALSE,TRUE,"Day7_primary",NA
"PGEN_.00g050070",-1.75581896966133,FALSE,TRUE,"Day7_primary",NA
"PGEN_.00g050250",5.35350348490508,TRUE,FALSE,"Day21_primary","AP-4 complex accessory subunit Tepsin (ENTH domain-containing protein 2) (Tetra-epsin)"
"PGEN_.00g050410",-1.47909194606117,FALSE,TRUE,"Day14_primary","Ig-like and fibronectin type-III domain-containing protein 2"
"PGEN_.00g050460",-1.14598025633113,FALSE,TRUE,"Day14_primary","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)"
"PGEN_.00g051020",-2.53846043276965,FALSE,TRUE,"Day14_primary",NA
"PGEN_.00g052390",-1.17996103963019,FALSE,TRUE,"Day14_primary","Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16)"
"PGEN_.00g052520",-1.92788864604148,FALSE,TRUE,"Day7_MAversusAM","Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26)"
"PGEN_.00g052550",3.11993432023639,TRUE,FALSE,"Day7_primary","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11) (C1qTNF11) (CTRP11)"
"PGEN_.00g052550",3.83163219772877,TRUE,FALSE,"Day14_primary","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11) (C1qTNF11) (CTRP11)"
"PGEN_.00g052650",-3.24538019127415,FALSE,TRUE,"Day7_second","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11) (C1qTNF11) (CTRP11)"
"PGEN_.00g052650",-2.25252718530394,FALSE,TRUE,"Day7_MAversusAM","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11) (C1qTNF11) (CTRP11)"
"PGEN_.00g052650",5.13647279011055,TRUE,FALSE,"Day14_primary","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11) (C1qTNF11) (CTRP11)"
"PGEN_.00g053400",1.72699447851936,TRUE,FALSE,"Day14_primary","COP9 signalosome complex subunit 3 (Signalosome subunit 3)"
"PGEN_.00g053420",-6.89240678238378,FALSE,TRUE,"Day21_primary","Temptin"
"PGEN_.00g053750",4.62426635499463,TRUE,FALSE,"Day14_primary",NA
"PGEN_.00g054330",-1.50461314204414,FALSE,TRUE,"Day14_primary","Protein pangolin, isoforms A/H/I/S (dTCF)"
"PGEN_.00g054550",-2.95890499935407,FALSE,TRUE,"Day21_primary",NA
"PGEN_.00g055210",-2.12837727667125,FALSE,TRUE,"Day14_primary","Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)"
"PGEN_.00g055380",-1.38232250208244,FALSE,TRUE,"Day7_primary","Kelch-like protein 24 (Kainate receptor-interacting protein for GluR6) (KRIP6) (Protein DRE1)"
"PGEN_.00g056330",6.23940815267022,TRUE,FALSE,"Day21_primary","Low-density lipoprotein receptor-related protein 3 (LRP-3) (105 kDa low-density lipoprotein receptor-related protein) (rLRp105)"
"PGEN_.00g056330",4.52253994589113,TRUE,FALSE,"Day14_primary","Low-density lipoprotein receptor-related protein 3 (LRP-3) (105 kDa low-density lipoprotein receptor-related protein) (rLRp105)"
"PGEN_.00g057120",4.67255867210521,TRUE,FALSE,"Day14_primary","Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)"
