"","Gene","log2FoldChange","padj","Day_treatment","Treatment","Pairwise","Uniprot","Gene_terms_EC"
"30","PGEN_.00g026190",2.09691170144367,0.0161534890641272,"Day14","Primary","AvM","Q15643","Thyroid receptor-interacting protein 11 (TR-interacting protein 11) (TRIP-11) (Clonal evolution-related gene on chromosome 14 protein) (Golgi-associated microtubule-binding protein 210) (GMAP-210) (Trip230)"
"31","PGEN_.00g027390",5.90426481749975,0.0140728645878215,"Day14","Primary","AvM",NA,NA
"32","PGEN_.00g027450",-1.28026523914538,0.0265235795544427,"Day14","Primary","AvM","Q9QZQ0","Neuronal PAS domain-containing protein 3 (Neuronal PAS3) (Basic-helix-loop-helix-PAS protein MOP6) (Member of PAS protein 6)"
"33","PGEN_.00g027620",2.17650575893921,0.0307105684711929,"Day14","Primary","AvM","Q5RCS8","V-type proton ATPase subunit D (V-ATPase subunit D) (Vacuolar proton pump subunit D)"
"34","PGEN_.00g027970",5.21857676833607,0.00146970124176976,"Day14","Primary","AvM",NA,NA
"35","PGEN_.00g029620",4.9812747190141,0.0114913965253465,"Day14","Primary","AvM",NA,NA
"36","PGEN_.00g029740",2.32720715457824,0.0145394359405185,"Day14","Primary","AvM",NA,NA
"37","PGEN_.00g031270",-1.77198889647402,0.0215355018793148,"Day14","Primary","AvM","A2APX8","Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1)"
"38","PGEN_.00g031490",5.00658744598722,0.0067035369488992,"Day14","Primary","AvM",NA,NA
"39","PGEN_.00g033640",5.13922400071169,0.00495388259255712,"Day14","Primary","AvM","P03952","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"40","PGEN_.00g035190",6.12831758053369,0.000657233400759102,"Day14","Primary","AvM",NA,NA
"41","PGEN_.00g035820",3.92744080580301,0.00781606775795945,"Day14","Primary","AvM","P26779","Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]"
"42","PGEN_.00g037080",-2.10044540054221,0.0208640243069544,"Day14","Primary","AvM","Q9QYT7","Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q (EC 2.4.1.198) (MGpi1p) (N-acetylglucosamyl transferase component GPI1) (Phosphatidylinositol-glycan biosynthesis class Q protein) (PIG-Q)"
"43","PGEN_.00g038400",4.44985582898672,0.0323036437021192,"Day14","Primary","AvM","P80009","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Plasmin light chain B] (Fragment)"
"44","PGEN_.00g038430",3.07411507362055,0.0323036437021192,"Day14","Primary","AvM","Q6V0I7","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)"
"45","PGEN_.00g038510",3.07709352663842,0.0424198060022633,"Day14","Primary","AvM","A9KET6","L-threonine 3-dehydrogenase (TDH) (EC 1.1.1.103)"
"46","PGEN_.00g039120",5.81907483552502,0.000831959901797359,"Day14","Primary","AvM","P83425","Heavy metal-binding protein HIP"
"47","PGEN_.00g039520",4.55571163534232,0.0194414775864646,"Day14","Primary","AvM",NA,NA
"48","PGEN_.00g040690",6.05816863876941,0.00617224748705829,"Day14","Primary","AvM","Q920P0","L-xylulose reductase (XR) (EC 1.1.1.10) (Dicarbonyl/L-xylulose reductase)"
"49","PGEN_.00g040950",4.93721024163032,0.0172095734306819,"Day14","Primary","AvM","P82596","Perlucin"
"50","PGEN_.00g041430",3.34358476253888,0.00602997602971856,"Day14","Primary","AvM","P18298","S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2) (Methionine adenosyltransferase II) (MAT-II)"
"51","PGEN_.00g041780",4.20834184141234,0.01345159214195,"Day14","Primary","AvM",NA,NA
"52","PGEN_.00g042190",2.62713621928117,0.0118799771657029,"Day14","Primary","AvM","Q6V0I7","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)"
"53","PGEN_.00g042540",-3.52137468019994,0.0029218415417263,"Day14","Primary","AvM","Q99NH7","Prestin (Solute carrier family 26 member 5)"
"54","PGEN_.00g043690",-2.37312366206295,0.0311694114894687,"Day14","Primary","AvM","Q6DDU8","Fidgetin-like protein 1 (EC 3.6.4.-)"
"55","PGEN_.00g045080",-5.57531220631822,0.000193702531758019,"Day14","Primary","AvM","Q19673","Putative tyrosinase-like protein tyr-3"
"56","PGEN_.00g046020",3.8491925823774,0.0495840175886624,"Day14","Primary","AvM","P86729","Ependymin-related protein 2"
"57","PGEN_.00g046530",-0.95495823850227,0.0245308957891352,"Day14","Primary","AvM","Q3UHK8","Trinucleotide repeat-containing gene 6A protein"
"58","PGEN_.00g046630",3.86706867435497,0.0193069664439515,"Day14","Primary","AvM","A0KDV2","L-rhamnonate dehydratase (RhamD) (EC 4.2.1.90)"
"59","PGEN_.00g046720",4.15713989395708,0.029264970798205,"Day14","Primary","AvM",NA,NA
"60","PGEN_.00g047200",4.18426020414649,0.0388121730454776,"Day14","Primary","AvM","P54625","Trypsin beta (EC 3.4.21.4)"
"61","PGEN_.00g047650",-1.49058996789905,0.0207781569186426,"Day14","Primary","AvM","P70549","Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)"
"62","PGEN_.00g047760",-0.884470568674038,0.0195308728141243,"Day14","Primary","AvM","Q8WYB5","Histone acetyltransferase KAT6B (EC 2.3.1.48) (Histone acetyltransferase MOZ2) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4) (MYST-4) (Monocytic leukemia zinc finger protein-related factor)"
"63","PGEN_.00g048000",3.65586904695558,0.040639636880964,"Day14","Primary","AvM","Q9JID6","Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Palmitoyl-CoA ligase) (Phytanate--CoA ligase) (EC 6.2.1.24)"
"64","PGEN_.00g048970",2.17752483588079,0.0237812597114817,"Day14","Primary","AvM","Q9D8I1","Marginal zone B- and B1-cell-specific protein (Plasma cell-induced resident endoplasmic reticulum protein) (Plasma cell-induced resident ER protein) (pERp1) (Proapoptotic caspase adapter protein)"
"65","PGEN_.00g049360",4.96965695612827,0.0250138683537514,"Day14","Primary","AvM","Q4AEH3","Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)"
"66","PGEN_.00g050040",4.75638282832972,0.000818580252371404,"Day14","Primary","AvM","B3EWZ9","Hephaestin-like protein (EC 1.-.-.-)"
"67","PGEN_.00g050410",-1.47909194606117,0.0285856857992884,"Day14","Primary","AvM","O18023","Ig-like and fibronectin type-III domain-containing protein 2"
"68","PGEN_.00g050460",-1.14598025633113,0.0214007026476809,"Day14","Primary","AvM","Q6V0I7","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)"
"69","PGEN_.00g051020",-2.53846043276965,0.0255139744344192,"Day14","Primary","AvM",NA,NA
"70","PGEN_.00g052390",-1.17996103963019,0.0475291962729084,"Day14","Primary","AvM","P48463","Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16)"
"71","PGEN_.00g052550",3.83163219772877,0.0215355018793148,"Day14","Primary","AvM","Q4ZJM9","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11) (C1qTNF11) (CTRP11)"
"72","PGEN_.00g052650",5.13647279011055,0.000550952640687836,"Day14","Primary","AvM","Q4ZJM9","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11) (C1qTNF11) (CTRP11)"
"73","PGEN_.00g053400",1.72699447851936,0.0307105684711929,"Day14","Primary","AvM","Q6P2U9","COP9 signalosome complex subunit 3 (Signalosome subunit 3)"
"74","PGEN_.00g053750",4.62426635499463,0.0077145939299252,"Day14","Primary","AvM",NA,NA
"75","PGEN_.00g054330",-1.50461314204414,0.0364299963893503,"Day14","Primary","AvM","P91943","Protein pangolin, isoforms A/H/I/S (dTCF)"
"76","PGEN_.00g055210",-2.12837727667125,0.0346571998164306,"Day14","Primary","AvM","Q20065","Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)"
"77","PGEN_.00g056330",4.52253994589113,0.0136262087925476,"Day14","Primary","AvM","O88204","Low-density lipoprotein receptor-related protein 3 (LRP-3) (105 kDa low-density lipoprotein receptor-related protein) (rLRp105)"
"78","PGEN_.00g057120",4.67255867210521,0.00435768208141193,"Day14","Primary","AvM","Q13231","Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)"
"79","PGEN_.00g057130",4.32109908964198,0.00158827318013817,"Day14","Primary","AvM","Q95M17","Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Chitin-binding protein b04) (CBPb04)"
"80","PGEN_.00g057170",5.25486542347605,0.000940454791488894,"Day14","Primary","AvM","P14272","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"81","PGEN_.00g057190",5.74879162691252,0.000368943004482712,"Day14","Primary","AvM","P03952","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"82","PGEN_.00g057310",5.64060696832976,0.000996061894739416,"Day14","Primary","AvM","P82968","Four-domain proteases inhibitor (McaPI)"
"83","PGEN_.00g057320",5.26661390167592,0.0212885112693933,"Day14","Primary","AvM","P82968","Four-domain proteases inhibitor (McaPI)"
"84","PGEN_.00g057550",4.22798733458943,0.0186689846758696,"Day14","Primary","AvM","Q09221","Copine family protein 2"
"85","PGEN_.00g059060",-4.87402756889097,0.00469503963064369,"Day14","Primary","AvM",NA,NA
"86","PGEN_.00g059780",2.18324670258291,0.023678723321202,"Day14","Primary","AvM","Q8K363","ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18)"
"87","PGEN_.00g060690",4.06207836625746,0.00327979391413935,"Day14","Primary","AvM","P23654","Neurotactin"
"88","PGEN_.00g062920",1.55928821904026,0.0136262087925476,"Day14","Primary","AvM","Q29122","Unconventional myosin-VI (Unconventional myosin-6)"
"89","PGEN_.00g063220",5.35208783170866,0.0034846714912729,"Day14","Primary","AvM",NA,NA
"90","PGEN_.00g063890",8.17045146361034,0.00177248447897707,"Day14","Primary","AvM","Q7Z0T3","Temptin"
"91","PGEN_.00g064390",5.56956583631399,0.0314489048678468,"Day14","Primary","AvM","Q0Q029","Putative defense protein 1 (DFP-1)"
"92","PGEN_.00g066660",-2.05098444905798,0.0283087878184675,"Day14","Primary","AvM",NA,NA
"93","PGEN_.00g067170",2.09702229566078,0.00622080396377059,"Day14","Primary","AvM",NA,NA
"94","PGEN_.00g069990",3.27126125225771,0.0119149079736032,"Day14","Primary","AvM","Q9V5N8","Protocadherin-like wing polarity protein stan (Protein flamingo) (Protein starry night)"
"95","PGEN_.00g070040",4.95661019782081,0.0496747317987793,"Day14","Primary","AvM","Q9U943","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]"
"96","PGEN_.00g070790",4.03773139939943,0.00911649766716951,"Day14","Primary","AvM",NA,NA
"97","PGEN_.00g073190",4.01680886081387,0.023678723321202,"Day14","Primary","AvM","Q9U943","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]"
"98","PGEN_.00g074210",-3.10217516631829,0.00295155985129692,"Day14","Primary","AvM","B0VXW0","L-amino-acid oxidase (LAAO) (LAO) (EC 1.4.3.2)"
"99","PGEN_.00g074890",3.11277658081096,0.022177092445656,"Day14","Primary","AvM","Q9UTA8","Uncharacterized methyltransferase-like C25B8.10 (EC 2.1.1.-)"
"100","PGEN_.00g078540",6.46301435059438,0.00102876257446143,"Day14","Primary","AvM","A6H584","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)"
"101","PGEN_.00g078550",4.87808978818546,0.0160619747972529,"Day14","Primary","AvM","A6NMZ7","Collagen alpha-6(VI) chain"
"102","PGEN_.00g079550",-3.01343763855318,0.0292097133614059,"Day14","Primary","AvM","Q700K0","SCO-spondin"
"103","PGEN_.00g083480",-4.14855453395427,0.00800970332562881,"Day14","Primary","AvM",NA,NA
"104","PGEN_.00g083740",-4.30177969661773,0.00158827318013817,"Day14","Primary","AvM",NA,NA
"105","PGEN_.00g085790",5.47953523907522,0.00107814143558389,"Day14","Primary","AvM","P55906","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (MP70) (MP78)"
"106","PGEN_.00g085800",4.20705816866671,0.00134752205825494,"Day14","Primary","AvM","P74615","Uncharacterized protein sll1483"
"107","PGEN_.00g085950",2.30382926955448,0.00254767606091725,"Day14","Primary","AvM",NA,NA
"108","PGEN_.00g086290",-3.76628015161025,0.022069954746562,"Day14","Primary","AvM",NA,NA
"109","PGEN_.00g086610",6.32837471731957,9.37982152684348e-05,"Day14","Primary","AvM","Q6YHK3","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"110","PGEN_.00g086660",6.30746055939259,0.00155769720592701,"Day14","Primary","AvM","Q6YHK3","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"111","PGEN_.00g087530",6.14502460600128,0.000682748658577744,"Day14","Primary","AvM","F7J220","Scavenger receptor cysteine-rich domain superfamily protein (ApSRCR1)"
"112","PGEN_.00g087810",-4.44935156968028,0.00968539371957046,"Day14","Primary","AvM","Q9IBG7","Kielin/chordin-like protein (Cysteine-rich motor neuron 2 protein) (CRIM-2) (Kielin)"
"113","PGEN_.00g088100",5.23696152430283,0.00111779459477536,"Day14","Primary","AvM","B3EWZ3","Coadhesin (Fragment)"
"114","PGEN_.00g091340",4.66415212222555,0.00781606775795945,"Day14","Primary","AvM","Q5KU26","Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)"
"115","PGEN_.00g091350",4.87434943692308,0.0137792498732733,"Day14","Primary","AvM","Q6YHK3","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"116","PGEN_.00g092270",-7.30071220871789,0.000121309889539604,"Day14","Primary","AvM","Q6YHK3","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"117","PGEN_.00g092320",3.65861285227321,0.0249010860753891,"Day14","Primary","AvM","P82198","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3)"
"118","PGEN_.00g092520",1.50336951765569,0.0250503469657328,"Day14","Primary","AvM","Q96AG4","Leucine-rich repeat-containing protein 59 (Ribosome-binding protein p34) (p34) [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed]"
"119","PGEN_.00g093430",-6.35174029270625,0.000550952640687836,"Day14","Primary","AvM","Q91502","Creatine transporter"
"120","PGEN_.00g093840",5.29846975226111,0.00397203782123941,"Day14","Primary","AvM","A8K2U0","Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)"
"121","PGEN_.00g095320",4.74303694096285,0.00158827318013817,"Day14","Primary","AvM","Q80SU7","Interferon-induced very large GTPase 1 (Very large-inducible GTPase-1) (VLIG-1)"
"122","PGEN_.00g095390",4.46032010838881,0.0129927390961314,"Day14","Primary","AvM","P82198","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3)"
"123","PGEN_.00g096560",3.9160867508038,0.000652519632298024,"Day14","Primary","AvM","Q53G44","Interferon-induced protein 44-like"
"124","PGEN_.00g098060",-3.27105501929616,0.0243126008604454,"Day14","Primary","AvM",NA,NA
"125","PGEN_.00g103630",3.81760064671485,0.0255139744344192,"Day14","Primary","AvM","P53792","Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2)"
"126","PGEN_.00g105690",4.66453782199733,0.0146035642344041,"Day14","Primary","AvM","Q80X72","Leucine-rich repeat-containing protein 15"
"127","PGEN_.00g106710",5.48849180086245,0.0153331630385115,"Day14","Primary","AvM",NA,NA
"128","PGEN_.00g108670",-1.3774981450926,0.0241813003056251,"Day14","Primary","AvM",NA,NA
"129","PGEN_.00g108800",2.26030436848255,0.0150578089313848,"Day14","Primary","AvM","Q10751","Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (Fragment)"
"130","PGEN_.00g108930",-1.28064371941676,0.020820693888884,"Day14","Primary","AvM",NA,NA
"131","PGEN_.00g110440",-1.46765710572287,0.0282905704023972,"Day14","Primary","AvM","P34897","Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)"
"132","PGEN_.00g110480",4.67855308399172,0.00474263622614811,"Day14","Primary","AvM",NA,NA
"133","PGEN_.00g112860",-5.10560037639361,0.00911649766716951,"Day14","Primary","AvM",NA,NA
"134","PGEN_.00g113260",3.35290855765474,0.0122510033324267,"Day14","Primary","AvM",NA,NA
"135","PGEN_.00g114200",5.12232575087075,0.00182757607632256,"Day14","Primary","AvM","Q05A80","Caprin-2 (C1q domain-containing protein 1) (Cytoplasmic activation/proliferation-associated protein 2) (RNA granule protein 140)"
"136","PGEN_.00g114240",-5.14472920659789,0.0232162661419199,"Day14","Primary","AvM",NA,NA
"137","PGEN_.00g114310",-1.7128100435385,0.0495909824689366,"Day14","Primary","AvM","P22897","Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206)"
"138","PGEN_.00g114410",-3.59389765550311,0.0301420445171561,"Day14","Primary","AvM",NA,NA
"139","PGEN_.00g115060",1.50921233598546,0.0493399975394695,"Day14","Primary","AvM","P23588","Eukaryotic translation initiation factor 4B (eIF-4B)"
"140","PGEN_.00g115560",4.08333447515626,0.0128062530715413,"Day14","Primary","AvM",NA,NA
"141","PGEN_.00g116130",3.79359225291383,0.0287250310267417,"Day14","Primary","AvM","B3EWY9","Mucin-like protein (Fragment)"
"142","PGEN_.00g116140",4.406339010654,0.0062108646585653,"Day14","Primary","AvM",NA,NA
"143","PGEN_.00g116150",4.49534954781033,0.00662237444946691,"Day14","Primary","AvM","P13944","Collagen alpha-1(XII) chain (Fibrochimerin)"
"144","PGEN_.00g116660",5.316666988366,0.00316934403148335,"Day14","Primary","AvM",NA,NA
"145","PGEN_.00g116940",4.93758609148598,0.00236685210532862,"Day14","Primary","AvM","G9JJU2","Glutathione peroxidase (PcGPx) (Se-PcGPx) (EC 1.11.1.9)"
"146","PGEN_.00g116950",-0.947844817759798,0.0471408535436037,"Day14","Primary","AvM","Q96DN6","Methyl-CpG-binding domain protein 6 (Methyl-CpG-binding protein MBD6)"
"147","PGEN_.00g117550",7.7165573914043,9.1694272313183e-05,"Day14","Primary","AvM",NA,NA
"148","PGEN_.00g117980",4.93893590940296,0.00134752205825494,"Day14","Primary","AvM","P81439","Equistatin"
"149","PGEN_.00g118430",4.781847289397,0.00781606775795945,"Day14","Primary","AvM",NA,NA
"150","PGEN_.00g119160",3.68585539130651,0.0460768770345648,"Day14","Primary","AvM","P82596","Perlucin"
"151","PGEN_.00g119470",4.90479044250106,0.0122878351678453,"Day14","Primary","AvM","P05099","Cartilage matrix protein (Matrilin-1)"
"152","PGEN_.00g120210",2.19146969653798,0.0495909824689366,"Day14","Primary","AvM","P38117","Electron transfer flavoprotein subunit beta (Beta-ETF)"
"153","PGEN_.00g122020",4.49184274626048,0.0118799771657029,"Day14","Primary","AvM","P13944","Collagen alpha-1(XII) chain (Fibrochimerin)"
"154","PGEN_.00g122110",2.86791020981758,0.0344474328075219,"Day14","Primary","AvM","P57721","Poly(rC)-binding protein 3 (Alpha-CP3) (PCBP3-overlapping transcript) (PCBP3-overlapping transcript 1)"
"155","PGEN_.00g122510",5.15999425792695,0.0198158450058103,"Day14","Primary","AvM",NA,NA
"156","PGEN_.00g122870",5.06277651715035,0.00050929002569028,"Day14","Primary","AvM","Q9JHA8","von Willebrand factor A domain-containing protein 7 (Protein G7c)"
"157","PGEN_.00g127500",1.05409414856821,0.0142092776930785,"Day14","Primary","AvM","Q9BQS8","FYVE and coiled-coil domain-containing protein 1 (Zinc finger FYVE domain-containing protein 7)"
"158","PGEN_.00g127580",6.99092441187762,3.26404255195909e-05,"Day14","Primary","AvM",NA,NA
"159","PGEN_.00g127990",4.87201656523794,0.00784843261754075,"Day14","Primary","AvM","Q60847","Collagen alpha-1(XII) chain"
"160","PGEN_.00g129560",-2.24101160352338,0.00442433814694714,"Day14","Primary","AvM","Q9BGQ3","Septin-5"
"161","PGEN_.00g130020",4.81271879976939,0.0100492255504069,"Day14","Primary","AvM","Q9UAS2","Fatty acid-binding protein 1"
"162","PGEN_.00g130110",3.45277443375185,0.026275225759716,"Day14","Primary","AvM",NA,NA
