"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"12","crg:105319364","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105319364","60S acidic ribosomal protein P0"
"13","crg:105319368","crg03008","Ribosome biogenesis in eukaryotes","105318277/105318560/105321565/105323847/105327885/105329502/105338454/105341403/105341713/105342694/105346016/105348653/105319368/105323586/105326651/105329551/105332140/105340192/105343450/105344975/105347334/105347537",22,"105319368","serine/threonine-protein kinase RIO2"
"14","crg:105319522","crg04141","Protein processing in endoplasmic reticulum","105318855/105325010/105325178/105328208/105328488/105328588/105328795/105328826/105331513/105332313/105333774/105340425/105340656/105341221/105341763/105319522/105319990/105322320/105327783/105329658/105330973/105331081/105331600/105333050/105334865/105335023/105336785/105337540/105337929/105339236/105339435/105341388/105342784/105345701/105346081/105346349/105346689/105347543",38,"105319522","dnaJ homolog subfamily C member 3"
"15","crg:105319530","crg03050","Proteasome","105319167/105319530/105322349/105322526/105336919/105338413/105341026/105341348/105320967/105327391/105328897/105329081/105329473/105330688/105332852/105332983/105337951/105342563/105343419",19,"105319530","26S proteasome non-ATPase regulatory subunit 2"
"16","crg:105319573","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105319573","60S ribosomal protein L37a"
"17","crg:105319617","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105319617","39S ribosomal protein L11, mitochondrial"
"18","crg:105319797","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105319797","40S ribosomal protein S7"
"19","crg:105319990","crg04141","Protein processing in endoplasmic reticulum","105318855/105325010/105325178/105328208/105328488/105328588/105328795/105328826/105331513/105332313/105333774/105340425/105340656/105341221/105341763/105319522/105319990/105322320/105327783/105329658/105330973/105331081/105331600/105333050/105334865/105335023/105336785/105337540/105337929/105339236/105339435/105341388/105342784/105345701/105346081/105346349/105346689/105347543",38,"105319990","dnaJ homolog subfamily A member 1"
"20","crg:105320386","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105320386","39S ribosomal protein L14, mitochondrial"
"21","crg:105320864","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105320864","probable ribosome biogenesis protein RLP24"
"22","crg:105320967","crg03050","Proteasome","105319167/105319530/105322349/105322526/105336919/105338413/105341026/105341348/105320967/105327391/105328897/105329081/105329473/105330688/105332852/105332983/105337951/105342563/105343419",19,"105320967","proteasome subunit beta type-4"
"23","crg:105321315","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105321315","60S ribosomal protein L19"
"24","crg:105321565","crg03008","Ribosome biogenesis in eukaryotes","105318277/105318560/105321565/105323847/105327885/105329502/105338454/105341403/105341713/105342694/105346016/105348653/105319368/105323586/105326651/105329551/105332140/105340192/105343450/105344975/105347334/105347537",22,"105321565","periodic tryptophan protein 2 homolog"
"25","crg:105321589","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105321589","60S ribosomal protein L6"
"26","crg:105321751","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105321751","39S ribosomal protein L19, mitochondrial"
"27","crg:105321862","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105321862","28S ribosomal protein S17, mitochondrial"
"28","crg:105322320","crg04141","Protein processing in endoplasmic reticulum","105318855/105325010/105325178/105328208/105328488/105328588/105328795/105328826/105331513/105332313/105333774/105340425/105340656/105341221/105341763/105319522/105319990/105322320/105327783/105329658/105330973/105331081/105331600/105333050/105334865/105335023/105336785/105337540/105337929/105339236/105339435/105341388/105342784/105345701/105346081/105346349/105346689/105347543",38,"105322320","protein disulfide-isomerase A4"
"29","crg:105322349","crg03050","Proteasome","105319167/105319530/105322349/105322526/105336919/105338413/105341026/105341348/105320967/105327391/105328897/105329081/105329473/105330688/105332852/105332983/105337951/105342563/105343419",19,"105322349","26S proteasome non-ATPase regulatory subunit 3"
"30","crg:105322526","crg03050","Proteasome","105319167/105319530/105322349/105322526/105336919/105338413/105341026/105341348/105320967/105327391/105328897/105329081/105329473/105330688/105332852/105332983/105337951/105342563/105343419",19,"105322526","proteasome subunit alpha type-6"
"31","crg:105323586","crg03008","Ribosome biogenesis in eukaryotes","105318277/105318560/105321565/105323847/105327885/105329502/105338454/105341403/105341713/105342694/105346016/105348653/105319368/105323586/105326651/105329551/105332140/105340192/105343450/105344975/105347334/105347537",22,"105323586","ribonuclease P protein subunit p30"
"32","crg:105323647","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105323647","60S ribosomal protein L4"
"33","crg:105323810","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105323810","39S ribosomal protein L4, mitochondrial"
"34","crg:105323832","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105323832","probable 28S ribosomal protein S6, mitochondrial"
"35","crg:105323847","crg03008","Ribosome biogenesis in eukaryotes","105318277/105318560/105321565/105323847/105327885/105329502/105338454/105341403/105341713/105342694/105346016/105348653/105319368/105323586/105326651/105329551/105332140/105340192/105343450/105344975/105347334/105347537",22,"105323847","transducin beta-like protein 3"
"36","crg:105323890","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105323890","39S ribosomal protein L28, mitochondrial"
"37","crg:105323905","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105323905","40S ribosomal protein S14"
"38","crg:105324073","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105324073","60S ribosomal protein L12"
"39","crg:105324356","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105324356","40S ribosomal protein S3a"
"40","crg:105324694","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105324694","28S ribosomal protein S9, mitochondrial"
"41","crg:105324897","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105324897","60S acidic ribosomal protein P2"
"42","crg:105325010","crg04141","Protein processing in endoplasmic reticulum","105318855/105325010/105325178/105328208/105328488/105328588/105328795/105328826/105331513/105332313/105333774/105340425/105340656/105341221/105341763/105319522/105319990/105322320/105327783/105329658/105330973/105331081/105331600/105333050/105334865/105335023/105336785/105337540/105337929/105339236/105339435/105341388/105342784/105345701/105346081/105346349/105346689/105347543",38,"105325010","hypoxia up-regulated protein 1"
"43","crg:105325178","crg04141","Protein processing in endoplasmic reticulum","105318855/105325010/105325178/105328208/105328488/105328588/105328795/105328826/105331513/105332313/105333774/105340425/105340656/105341221/105341763/105319522/105319990/105322320/105327783/105329658/105330973/105331081/105331600/105333050/105334865/105335023/105336785/105337540/105337929/105339236/105339435/105341388/105342784/105345701/105346081/105346349/105346689/105347543",38,"105325178","S-phase kinase-associated protein 1"
"44","crg:105325238","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105325238","28S ribosomal protein S18a, mitochondrial"
"45","crg:105325290","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105325290","28S ribosomal protein S21, mitochondrial"
"46","crg:105325638","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105325638","60S ribosomal protein L26"
"47","crg:105325786","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105325786","39S ribosomal protein L27, mitochondrial"
"48","crg:105326418","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105326418","60S ribosomal protein L23"
"49","crg:105326651","crg03008","Ribosome biogenesis in eukaryotes","105318277/105318560/105321565/105323847/105327885/105329502/105338454/105341403/105341713/105342694/105346016/105348653/105319368/105323586/105326651/105329551/105332140/105340192/105343450/105344975/105347334/105347537",22,"105326651","guanine nucleotide-binding protein-like 3 homolog"
"50","crg:105327391","crg03050","Proteasome","105319167/105319530/105322349/105322526/105336919/105338413/105341026/105341348/105320967/105327391/105328897/105329081/105329473/105330688/105332852/105332983/105337951/105342563/105343419",19,"105327391","26S proteasome non-ATPase regulatory subunit 4"
"51","crg:105327405","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105327405","39S ribosomal protein L30, mitochondrial"
"52","crg:105327783","crg04141","Protein processing in endoplasmic reticulum","105318855/105325010/105325178/105328208/105328488/105328588/105328795/105328826/105331513/105332313/105333774/105340425/105340656/105341221/105341763/105319522/105319990/105322320/105327783/105329658/105330973/105331081/105331600/105333050/105334865/105335023/105336785/105337540/105337929/105339236/105339435/105341388/105342784/105345701/105346081/105346349/105346689/105347543",38,"105327783","glucosidase 2 subunit beta"
"53","crg:105327885","crg03008","Ribosome biogenesis in eukaryotes","105318277/105318560/105321565/105323847/105327885/105329502/105338454/105341403/105341713/105342694/105346016/105348653/105319368/105323586/105326651/105329551/105332140/105340192/105343450/105344975/105347334/105347537",22,"105327885","GTP-binding nuclear protein Ran"
"54","crg:105327930","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105327930","28S ribosomal protein S2, mitochondrial"
"55","crg:105328208","crg04141","Protein processing in endoplasmic reticulum","105318855/105325010/105325178/105328208/105328488/105328588/105328795/105328826/105331513/105332313/105333774/105340425/105340656/105341221/105341763/105319522/105319990/105322320/105327783/105329658/105330973/105331081/105331600/105333050/105334865/105335023/105336785/105337540/105337929/105339236/105339435/105341388/105342784/105345701/105346081/105346349/105346689/105347543",38,"105328208","BUB3-interacting and GLEBS motif-containing protein ZNF207"
"56","crg:105328488","crg04141","Protein processing in endoplasmic reticulum","105318855/105325010/105325178/105328208/105328488/105328588/105328795/105328826/105331513/105332313/105333774/105340425/105340656/105341221/105341763/105319522/105319990/105322320/105327783/105329658/105330973/105331081/105331600/105333050/105334865/105335023/105336785/105337540/105337929/105339236/105339435/105341388/105342784/105345701/105346081/105346349/105346689/105347543",38,"105328488","neutral alpha-glucosidase AB"
"57","crg:105328588","crg04141","Protein processing in endoplasmic reticulum","105318855/105325010/105325178/105328208/105328488/105328588/105328795/105328826/105331513/105332313/105333774/105340425/105340656/105341221/105341763/105319522/105319990/105322320/105327783/105329658/105330973/105331081/105331600/105333050/105334865/105335023/105336785/105337540/105337929/105339236/105339435/105341388/105342784/105345701/105346081/105346349/105346689/105347543",38,"105328588","translocon-associated protein subunit alpha"
"58","crg:105328795","crg04141","Protein processing in endoplasmic reticulum","105318855/105325010/105325178/105328208/105328488/105328588/105328795/105328826/105331513/105332313/105333774/105340425/105340656/105341221/105341763/105319522/105319990/105322320/105327783/105329658/105330973/105331081/105331600/105333050/105334865/105335023/105336785/105337540/105337929/105339236/105339435/105341388/105342784/105345701/105346081/105346349/105346689/105347543",38,"105328795","alpha-crystallin B chain"
