"","Cgigas_PathwayID","Pathway_Description","Cgigas_KEGG_IDs","Gene_name","day_mod"
"37","crg04144","Endocytosis","crg:105345550","low density lipoprotein receptor adapter protein 1-A","Day7_brown"
"38","crg04144","Endocytosis","crg:105347007","ras-related protein Rab-35-like","Day7_brown"
"39","crg04144","Endocytosis","crg:105348659","TNF receptor-associated factor 6 isoform X1","Day7_brown"
"40","crg04068","FoxO signaling pathway","crg:105329475","growth factor receptor-bound protein 2 isoform X1","Day7_brown"
"41","crg04068","FoxO signaling pathway","crg:105330118","Egfr; epidermal growth factor receptor precursor","Day7_brown"
"42","crg04068","FoxO signaling pathway","crg:105331286","phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN","Day7_brown"
"43","crg04068","FoxO signaling pathway","crg:105331792","3-phosphoinositide-dependent protein kinase 1 isoform X2","Day7_brown"
"44","crg04068","FoxO signaling pathway","crg:105331926","gamma-aminobutyric acid receptor-associated protein-like 2","Day7_brown"
"45","crg04068","FoxO signaling pathway","crg:105334418","mitogen-activated protein kinase 1","Day7_brown"
"46","crg04068","FoxO signaling pathway","crg:105340555","serine/threonine-protein kinase PLK1","Day7_brown"
"47","crg04068","FoxO signaling pathway","crg:105341321","5'-AMP-activated protein kinase catalytic subunit alpha-2 isoform X1","Day7_brown"
"48","crg04068","FoxO signaling pathway","crg:105342014","GTPase HRas","Day7_brown"
"49","crg04068","FoxO signaling pathway","crg:105342662","insulin receptor substrate 1-B isoform X1","Day7_brown"
"50","crg04068","FoxO signaling pathway","crg:105344743","CD40 ligand","Day7_brown"
"51","crg04137","Mitophagy - animal","crg:105318591","serine/threonine-protein kinase TBK1","Day7_brown"
"52","crg04137","Mitophagy - animal","crg:105321193","tax1-binding protein 1 homolog isoform X1","Day7_brown"
"53","crg04137","Mitophagy - animal","crg:105325397","ras-related protein M-Ras","Day7_brown"
"54","crg04137","Mitophagy - animal","crg:105326138","serine/threonine-protein kinase PINK1, mitochondrial","Day7_brown"
"55","crg04137","Mitophagy - animal","crg:105331926","gamma-aminobutyric acid receptor-associated protein-like 2","Day7_brown"
"56","crg04137","Mitophagy - animal","crg:105333842","serine/threonine-protein kinase TBK1","Day7_brown"
"57","crg04137","Mitophagy - animal","crg:105342014","GTPase HRas","Day7_brown"
"58","crg04137","Mitophagy - animal","crg:105345355","ras-related protein R-Ras2-like","Day7_brown"
"59","crg04137","Mitophagy - animal","crg:105348843","optineurin","Day7_brown"
"60","crg00190","Oxidative phosphorylation","crg:105318424","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial-like","Day7_greenyellow"
"61","crg00190","Oxidative phosphorylation","crg:105319097","ATP synthase subunit beta, mitochondrial","Day7_greenyellow"
"62","crg00190","Oxidative phosphorylation","crg:105319162","LOW QUALITY PROTEIN: ATP synthase lipid-binding protein, mitochondrial-like","Day7_greenyellow"
"63","crg00190","Oxidative phosphorylation","crg:105323421","probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12","Day7_greenyellow"
"64","crg00190","Oxidative phosphorylation","crg:105326432","NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial","Day7_greenyellow"
"65","crg00190","Oxidative phosphorylation","crg:105328413","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial isoform X2","Day7_greenyellow"
"66","crg00190","Oxidative phosphorylation","crg:105332067","ATP synthase subunit alpha, mitochondrial-like","Day7_greenyellow"
"67","crg00190","Oxidative phosphorylation","crg:105332143","succinate dehydrogenase cytochrome b560 subunit, mitochondrial isoform X1","Day7_greenyellow"
"68","crg00190","Oxidative phosphorylation","crg:105332292","cytochrome c1, heme protein, mitochondrial","Day7_greenyellow"
"69","crg00190","Oxidative phosphorylation","crg:105337089","succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","Day7_greenyellow"
"70","crg00190","Oxidative phosphorylation","crg:105338985","ATP synthase subunit gamma, mitochondrial","Day7_greenyellow"
"71","crg00190","Oxidative phosphorylation","crg:105340053","cytochrome c oxidase subunit 5A, mitochondrial","Day7_greenyellow"
"72","crg00190","Oxidative phosphorylation","crg:105341248","succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like","Day7_greenyellow"
"73","crg00190","Oxidative phosphorylation","crg:105343349","ATP synthase subunit delta, mitochondrial","Day7_greenyellow"
"74","crg00190","Oxidative phosphorylation","crg:105344150","cytochrome c","Day7_greenyellow"
"75","crg00190","Oxidative phosphorylation","crg:105344651","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial","Day7_greenyellow"
"76","crg00190","Oxidative phosphorylation","crg:105347217","cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like","Day7_greenyellow"
"77","crg00190","Oxidative phosphorylation","crg:105347858","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial","Day7_greenyellow"
"78","crg00190","Oxidative phosphorylation","crg:109618245","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6-like","Day7_greenyellow"
"79","crg03010","Ribosome","crg:105317113","60S ribosomal protein L10a-like","Day7_greenyellow"
"80","crg03010","Ribosome","crg:105317506","40S ribosomal protein S11","Day7_greenyellow"
"81","crg03010","Ribosome","crg:105318421","39S ribosomal protein L16, mitochondrial-like","Day7_greenyellow"
"82","crg03010","Ribosome","crg:105318789","40S ribosomal protein S26","Day7_greenyellow"
"83","crg03010","Ribosome","crg:105319021","60S ribosomal protein L15","Day7_greenyellow"
"84","crg03010","Ribosome","crg:105319364","60S acidic ribosomal protein P0","Day7_greenyellow"
"85","crg03010","Ribosome","crg:105319573","60S ribosomal protein L37a","Day7_greenyellow"
"86","crg03010","Ribosome","crg:105319797","40S ribosomal protein S7","Day7_greenyellow"
"87","crg03010","Ribosome","crg:105320864","probable ribosome biogenesis protein RLP24","Day7_greenyellow"
"88","crg03010","Ribosome","crg:105321315","60S ribosomal protein L19","Day7_greenyellow"
"89","crg03010","Ribosome","crg:105321543","60S ribosomal protein L21-like","Day7_greenyellow"
"90","crg03010","Ribosome","crg:105321589","60S ribosomal protein L6","Day7_greenyellow"
"91","crg03010","Ribosome","crg:105323167","40S ribosomal protein S27-like","Day7_greenyellow"
"92","crg03010","Ribosome","crg:105323810","39S ribosomal protein L4, mitochondrial","Day7_greenyellow"
"93","crg03010","Ribosome","crg:105324073","60S ribosomal protein L12","Day7_greenyellow"
"94","crg03010","Ribosome","crg:105324694","28S ribosomal protein S9, mitochondrial","Day7_greenyellow"
"95","crg03010","Ribosome","crg:105325638","60S ribosomal protein L26-like","Day7_greenyellow"
"96","crg03010","Ribosome","crg:105325786","39S ribosomal protein L27, mitochondrial-like","Day7_greenyellow"
"97","crg03010","Ribosome","crg:105326418","60S ribosomal protein L23","Day7_greenyellow"
"98","crg03010","Ribosome","crg:105327405","39S ribosomal protein L30, mitochondrial-like","Day7_greenyellow"
"99","crg03010","Ribosome","crg:105328421","LOW QUALITY PROTEIN: 39S ribosomal protein L2, mitochondrial-like","Day7_greenyellow"
"100","crg03010","Ribosome","crg:105329912","60S acidic ribosomal protein P1","Day7_greenyellow"
"101","crg03010","Ribosome","crg:105330130","60S ribosomal protein L4","Day7_greenyellow"
"102","crg03010","Ribosome","crg:105330605","60S ribosomal protein L30","Day7_greenyellow"
"103","crg03010","Ribosome","crg:105331157","40S ribosomal protein S15Aa","Day7_greenyellow"
"104","crg03010","Ribosome","crg:105331823","40S ribosomal protein S24-like isoform X1","Day7_greenyellow"
"105","crg03010","Ribosome","crg:105332191","40S ribosomal protein S2","Day7_greenyellow"
"106","crg03010","Ribosome","crg:105332495","40S ribosomal protein S4","Day7_greenyellow"
"107","crg03010","Ribosome","crg:105333469","60S ribosomal protein L35a","Day7_greenyellow"
"108","crg03010","Ribosome","crg:105335803","60S ribosomal protein L13a","Day7_greenyellow"
"109","crg03010","Ribosome","crg:105335873","40S ribosomal protein S3","Day7_greenyellow"
"110","crg03010","Ribosome","crg:105338035","60S ribosomal protein L11","Day7_greenyellow"
"111","crg03010","Ribosome","crg:105338085","40S ribosomal protein S13","Day7_greenyellow"
"112","crg03010","Ribosome","crg:105338606","60S ribosomal protein L5-like","Day7_greenyellow"
"113","crg03010","Ribosome","crg:105338870","60S ribosomal protein L7a","Day7_greenyellow"
"114","crg03010","Ribosome","crg:105339104","40S ribosomal protein S25","Day7_greenyellow"
"115","crg03010","Ribosome","crg:105339837","40S ribosomal protein S14","Day7_greenyellow"
"116","crg03010","Ribosome","crg:105340032","40S ribosomal protein S8","Day7_greenyellow"
"117","crg03010","Ribosome","crg:105340582","Rps20; 40S ribosomal protein S20","Day7_greenyellow"
"118","crg03010","Ribosome","crg:105341326","40S ribosomal protein S6-like","Day7_greenyellow"
"119","crg03010","Ribosome","crg:105342025","60S ribosomal protein L8-like isoform X1","Day7_greenyellow"
"120","crg03010","Ribosome","crg:105342397","ubiquitin-40S ribosomal protein S27a","Day7_greenyellow"
"121","crg03010","Ribosome","crg:105342603","60S ribosomal protein L24","Day7_greenyellow"
"122","crg03010","Ribosome","crg:105344628","40S ribosomal protein S16","Day7_greenyellow"
"123","crg03010","Ribosome","crg:105344646","60S ribosomal protein L7","Day7_greenyellow"
"124","crg03010","Ribosome","crg:105347132","ubiquitin","Day7_greenyellow"
"125","crg03010","Ribosome","crg:105347208","39S ribosomal protein L3, mitochondrial-like","Day7_greenyellow"
"126","crg03010","Ribosome","crg:105347326","40S ribosomal protein S3a","Day7_greenyellow"
"127","crg03010","Ribosome","crg:105347733","60S ribosomal protein L27","Day7_greenyellow"
"128","crg03010","Ribosome","crg:105347800","40S ribosomal protein S18","Day7_greenyellow"
"129","crg03010","Ribosome","crg:105347828","Rps5; 40S ribosomal protein S5","Day7_greenyellow"
"130","crg03010","Ribosome","crg:105348361","60S ribosomal protein L9","Day7_greenyellow"
"131","crg03010","Ribosome","crg:105348430","40S ribosomal protein S23","Day7_greenyellow"
"132","crg04144","Endocytosis","crg:105318284","ADP-ribosylation factor GTPase-activating protein 1 isoform X1","Day7_turquoise"
"133","crg04144","Endocytosis","crg:105318650","vacuolar protein sorting-associated protein 29","Day7_turquoise"
"134","crg04144","Endocytosis","crg:105320076","charged multivesicular body protein 2a-like","Day7_turquoise"
"135","crg04144","Endocytosis","crg:105322050","WASH complex subunit SWIP","Day7_turquoise"
"136","crg04144","Endocytosis","crg:105322237","vacuolar segregation protein PEP7-like","Day7_turquoise"
"137","crg04144","Endocytosis","crg:105325897","arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 isoform X5","Day7_turquoise"
"138","crg04144","Endocytosis","crg:105327432","LOW QUALITY PROTEIN: WAS protein family homolog 1-like","Day7_turquoise"
"139","crg04144","Endocytosis","crg:105328970","ADP-ribosylation factor 2","Day7_turquoise"
"140","crg04144","Endocytosis","crg:105332531","ras-related protein rab7","Day7_turquoise"
"141","crg04144","Endocytosis","crg:105333224","AP-2 complex subunit alpha-2","Day7_turquoise"
"142","crg04144","Endocytosis","crg:105335021","sorting nexin-2","Day7_turquoise"
"143","crg04144","Endocytosis","crg:105340059","clathrin heavy chain 1 isoform X1","Day7_turquoise"
"144","crg04144","Endocytosis","crg:105342074","sorting nexin-6","Day7_turquoise"
"145","crg04144","Endocytosis","crg:105342245","rab GTPase-binding effector protein 1","Day7_turquoise"
"146","crg04144","Endocytosis","crg:105342463","clathrin light chain A isoform X1","Day7_turquoise"
"147","crg04144","Endocytosis","crg:105342535","actin-related protein 2/3 complex subunit 4","Day7_turquoise"
"148","crg04144","Endocytosis","crg:105342992","kinesin heavy chain","Day7_turquoise"
"149","crg04144","Endocytosis","crg:105344087","endophilin-A3 isoform X1","Day7_turquoise"
"150","crg04144","Endocytosis","crg:105347197","epsin-2 isoform X1","Day7_turquoise"
"151","crg04144","Endocytosis","crg:105347356","RUN and FYVE domain-containing protein 2-like isoform X3","Day7_turquoise"
"152","crg00071","Fatty acid degradation","crg:105321895","medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like","Day7_turquoise"
"153","crg00071","Fatty acid degradation","crg:105326193","4-trimethylaminobutyraldehyde dehydrogenase","Day7_turquoise"
"154","crg00071","Fatty acid degradation","crg:105335622","enoyl-CoA delta isomerase 2, peroxisomal","Day7_turquoise"
"155","crg00071","Fatty acid degradation","crg:105336470","alcohol dehydrogenase class-3 isoform X1","Day7_turquoise"
"156","crg00071","Fatty acid degradation","crg:105339789","peroxisomal acyl-coenzyme A oxidase 1","Day7_turquoise"
"157","crg00071","Fatty acid degradation","crg:105341094","enoyl-CoA hydratase, mitochondrial-like","Day7_turquoise"
"158","crg00071","Fatty acid degradation","crg:105346656","peroxisomal acyl-coenzyme A oxidase 3 isoform X1","Day7_turquoise"
"159","crg04142","Lysosome","crg:105318218","V-type proton ATPase subunit d-like","Day7_turquoise"
"160","crg04142","Lysosome","crg:105319353","legumain-like","Day7_turquoise"
"161","crg04142","Lysosome","crg:105320698","ganglioside GM2 activator","Day7_turquoise"
"162","crg04142","Lysosome","crg:105321566","V-type proton ATPase 16 kDa proteolipid subunit-like","Day7_turquoise"
"163","crg04142","Lysosome","crg:105323775","CD63 antigen","Day7_turquoise"
"164","crg04142","Lysosome","crg:105323790","V-type proton ATPase 116 kDa subunit a isoform X1","Day7_turquoise"
"165","crg04142","Lysosome","crg:105328916","cathepsin B","Day7_turquoise"
"166","crg04142","Lysosome","crg:105329422","lysosome membrane protein 2-like","Day7_turquoise"
"167","crg04142","Lysosome","crg:105331760","cathepsin L1-like","Day7_turquoise"
"168","crg04142","Lysosome","crg:105334333","galactocerebrosidase","Day7_turquoise"
"169","crg04142","Lysosome","crg:105338347","Niemann-Pick C1 protein-like","Day7_turquoise"
"170","crg04142","Lysosome","crg:105338718","lysosome-associated membrane glycoprotein 1 isoform X1","Day7_turquoise"
"171","crg04142","Lysosome","crg:105340059","clathrin heavy chain 1 isoform X1","Day7_turquoise"
"172","crg04142","Lysosome","crg:105340323","lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog isoform X1","Day7_turquoise"
"173","crg04142","Lysosome","crg:105340690","epididymal secretory protein E1-like","Day7_turquoise"
"174","crg04142","Lysosome","crg:105341804","sialin","Day7_turquoise"
"175","crg04142","Lysosome","crg:105342463","clathrin light chain A isoform X1","Day7_turquoise"
"176","crg04142","Lysosome","crg:105344064","cathepsin L1","Day7_turquoise"
"177","crg04142","Lysosome","crg:105347059","prosaposin isoform X1","Day7_turquoise"
"178","crg04142","Lysosome","crg:105348190","sphingomyelin phosphodiesterase","Day7_turquoise"
"179","crg04146","Peroxisome","crg:105324179","D-aspartate oxidase","Day7_turquoise"
"180","crg04146","Peroxisome","crg:105324552","peroxisomal membrane protein PMP34","Day7_turquoise"
"181","crg04146","Peroxisome","crg:105325181","2-hydroxyacyl-CoA lyase 1-like","Day7_turquoise"
"182","crg04146","Peroxisome","crg:105329358","peroxisomal membrane protein 2","Day7_turquoise"
"183","crg04146","Peroxisome","crg:105330227","isocitrate dehydrogenase [NADP] cytoplasmic","Day7_turquoise"
"184","crg04146","Peroxisome","crg:105333701","carnitine O-acetyltransferase isoform X1","Day7_turquoise"
"185","crg04146","Peroxisome","crg:105336995","dehydrogenase/reductase SDR family member 4-like","Day7_turquoise"
"186","crg04146","Peroxisome","crg:105339056","non-specific lipid-transfer protein","Day7_turquoise"
"187","crg04146","Peroxisome","crg:105339789","peroxisomal acyl-coenzyme A oxidase 1","Day7_turquoise"
"188","crg04146","Peroxisome","crg:105339902","catalase","Day7_turquoise"
"189","crg04146","Peroxisome","crg:105342001","peroxisomal 2,4-dienoyl-CoA reductase-like","Day7_turquoise"
"190","crg04146","Peroxisome","crg:105346656","peroxisomal acyl-coenzyme A oxidase 3 isoform X1","Day7_turquoise"
"191","crg04145","Phagosome","crg:105318218","V-type proton ATPase subunit d-like","Day7_turquoise"
"192","crg04145","Phagosome","crg:105321566","V-type proton ATPase 16 kDa proteolipid subunit-like","Day7_turquoise"
"193","crg04145","Phagosome","crg:105321678","V-type proton ATPase catalytic subunit A","Day7_turquoise"
"194","crg04145","Phagosome","crg:105322492","integrin beta-1-B-like precursor","Day7_turquoise"
"195","crg04145","Phagosome","crg:105323790","V-type proton ATPase 116 kDa subunit a isoform X1","Day7_turquoise"
"196","crg04145","Phagosome","crg:105328999","V-type proton ATPase subunit B","Day7_turquoise"
"197","crg04145","Phagosome","crg:105331760","cathepsin L1-like","Day7_turquoise"
"198","crg04145","Phagosome","crg:105332531","ras-related protein rab7","Day7_turquoise"
"199","crg04145","Phagosome","crg:105336770","V-type proton ATPase subunit D","Day7_turquoise"
"200","crg04145","Phagosome","crg:105338718","lysosome-associated membrane glycoprotein 1 isoform X1","Day7_turquoise"
"201","crg04145","Phagosome","crg:105344224","ras-related C3 botulinum toxin substrate 2","Day7_turquoise"
"202","crg04145","Phagosome","crg:105345691","V-type proton ATPase subunit G","Day7_turquoise"
"203","crg01200","Carbon metabolism","crg:105317044","cytoplasmic aconitate hydratase isoform X1","Day14_blue"
"204","crg01200","Carbon metabolism","crg:105317783","hexokinase-1","Day14_blue"
"205","crg01200","Carbon metabolism","crg:105329204","propionyl-CoA carboxylase beta chain, mitochondrial","Day14_blue"
"206","crg01200","Carbon metabolism","crg:105330227","isocitrate dehydrogenase [NADP] cytoplasmic","Day14_blue"
"207","crg01200","Carbon metabolism","crg:105330845","hexokinase-2 isoform X1","Day14_blue"
"208","crg01200","Carbon metabolism","crg:105331916","serine--pyruvate aminotransferase","Day14_blue"
"209","crg01200","Carbon metabolism","crg:105332278","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial-like isoform X1","Day14_blue"
"210","crg01200","Carbon metabolism","crg:105332291","glucose-6-phosphate isomerase","Day14_blue"
"211","crg01200","Carbon metabolism","crg:105333137","malate dehydrogenase, mitochondrial","Day14_blue"
"212","crg01200","Carbon metabolism","crg:105335896","fructose-bisphosphate aldolase","Day14_blue"
"213","crg01200","Carbon metabolism","crg:105336470","alcohol dehydrogenase class-3 isoform X1","Day14_blue"
"214","crg01200","Carbon metabolism","crg:105336648","regucalcin","Day14_blue"
"215","crg01200","Carbon metabolism","crg:105337089","succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","Day14_blue"
"216","crg01200","Carbon metabolism","crg:105339502","dihydrolipoyl dehydrogenase, mitochondrial-like","Day14_blue"
"217","crg01200","Carbon metabolism","crg:105339789","peroxisomal acyl-coenzyme A oxidase 1","Day14_blue"
"218","crg01200","Carbon metabolism","crg:105339902","catalase","Day14_blue"
"219","crg01200","Carbon metabolism","crg:105340512","glyceraldehyde-3-phosphate dehydrogenase","Day14_blue"
"220","crg01200","Carbon metabolism","crg:105341094","enoyl-CoA hydratase, mitochondrial-like","Day14_blue"
"221","crg01200","Carbon metabolism","crg:105341248","succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like","Day14_blue"
"222","crg01200","Carbon metabolism","crg:105346656","peroxisomal acyl-coenzyme A oxidase 3 isoform X1","Day14_blue"
"223","crg01200","Carbon metabolism","crg:105347662","triosephosphate isomerase","Day14_blue"
"224","crg04144","Endocytosis","crg:105317406","early endosome antigen 1","Day14_blue"
"225","crg04144","Endocytosis","crg:105317810","AP-2 complex subunit sigma isoform X1","Day14_blue"
"226","crg04144","Endocytosis","crg:105317888","actin-related protein 3 isoform X1","Day14_blue"
"227","crg04144","Endocytosis","crg:105318103","cdc42 homolog","Day14_blue"
"228","crg04144","Endocytosis","crg:105318284","ADP-ribosylation factor GTPase-activating protein 1 isoform X1","Day14_blue"
"229","crg04144","Endocytosis","crg:105321025","charged multivesicular body protein 5-like","Day14_blue"
"230","crg04144","Endocytosis","crg:105322050","WASH complex subunit SWIP","Day14_blue"
"231","crg04144","Endocytosis","crg:105325540","caveolin-1-like","Day14_blue"
"232","crg04144","Endocytosis","crg:105325897","arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 isoform X5","Day14_blue"
"233","crg04144","Endocytosis","crg:105326340","signal transducing adapter molecule 2-like isoform X1","Day14_blue"
"234","crg04144","Endocytosis","crg:105327432","LOW QUALITY PROTEIN: WAS protein family homolog 1-like","Day14_blue"
"235","crg04144","Endocytosis","crg:105328970","ADP-ribosylation factor 2","Day14_blue"
"236","crg04144","Endocytosis","crg:105329694","ras-related protein Rab-8A isoform X1","Day14_blue"
"237","crg04144","Endocytosis","crg:105332531","ras-related protein rab7","Day14_blue"
"238","crg04144","Endocytosis","crg:105333224","AP-2 complex subunit alpha-2","Day14_blue"
"239","crg04144","Endocytosis","crg:105333900","hepatocyte growth factor-regulated tyrosine kinase substrate-like isoform X1","Day14_blue"
"240","crg04144","Endocytosis","crg:105335021","sorting nexin-2","Day14_blue"
"241","crg04144","Endocytosis","crg:105336007","tumor susceptibility gene 101 protein","Day14_blue"
"242","crg04144","Endocytosis","crg:105337930","dynamin-1 isoform X1","Day14_blue"
"243","crg04144","Endocytosis","crg:105339958","cation-independent mannose-6-phosphate receptor","Day14_blue"
"244","crg04144","Endocytosis","crg:105340059","clathrin heavy chain 1 isoform X1","Day14_blue"
"245","crg04144","Endocytosis","crg:105340300","E3 ubiquitin-protein ligase SMURF2","Day14_blue"
"246","crg04144","Endocytosis","crg:105342074","sorting nexin-6","Day14_blue"
"247","crg04144","Endocytosis","crg:105342245","rab GTPase-binding effector protein 1","Day14_blue"
"248","crg04144","Endocytosis","crg:105342447","ADP-ribosylation factor 6","Day14_blue"
"249","crg04144","Endocytosis","crg:105342463","clathrin light chain A isoform X1","Day14_blue"
"250","crg04144","Endocytosis","crg:105342783","ras-like GTP-binding protein Rho1","Day14_blue"
"251","crg04144","Endocytosis","crg:105342944","caveolin-1","Day14_blue"
"252","crg04144","Endocytosis","crg:105347356","RUN and FYVE domain-containing protein 2-like isoform X3","Day14_blue"
"253","crg04144","Endocytosis","crg:109619106","sorting nexin-3-like","Day14_blue"
"254","crg04142","Lysosome","crg:105318218","V-type proton ATPase subunit d-like","Day14_blue"
"255","crg04142","Lysosome","crg:105318342","V-type proton ATPase subunit H isoform X1","Day14_blue"
"256","crg04142","Lysosome","crg:105319353","legumain-like","Day14_blue"
"257","crg04142","Lysosome","crg:105320698","ganglioside GM2 activator","Day14_blue"
"258","crg04142","Lysosome","crg:105320723","gastric triacylglycerol lipase","Day14_blue"
"259","crg04142","Lysosome","crg:105321566","V-type proton ATPase 16 kDa proteolipid subunit-like","Day14_blue"
"260","crg04142","Lysosome","crg:105323775","CD63 antigen","Day14_blue"
"261","crg04142","Lysosome","crg:105323790","V-type proton ATPase 116 kDa subunit a isoform X1","Day14_blue"
"262","crg04142","Lysosome","crg:105325388","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase","Day14_blue"
"263","crg04142","Lysosome","crg:105326821","alpha-galactosidase A","Day14_blue"
"264","crg04142","Lysosome","crg:105328916","cathepsin B","Day14_blue"
"265","crg04142","Lysosome","crg:105329422","lysosome membrane protein 2-like","Day14_blue"
"266","crg04142","Lysosome","crg:105331028","AP-1 complex subunit beta-1","Day14_blue"
"267","crg04142","Lysosome","crg:105331760","cathepsin L1-like","Day14_blue"
"268","crg04142","Lysosome","crg:105333214","battenin isoform X2","Day14_blue"
"269","crg04142","Lysosome","crg:105334333","galactocerebrosidase","Day14_blue"
"270","crg04142","Lysosome","crg:105337411","cation-dependent mannose-6-phosphate receptor","Day14_blue"
"271","crg04142","Lysosome","crg:105338347","Niemann-Pick C1 protein-like","Day14_blue"
"272","crg04142","Lysosome","crg:105338683","AP-3 complex subunit beta-2 isoform X1","Day14_blue"
"273","crg04142","Lysosome","crg:105338718","lysosome-associated membrane glycoprotein 1 isoform X1","Day14_blue"
"274","crg04142","Lysosome","crg:105339566","dipeptidyl peptidase 1","Day14_blue"
"275","crg04142","Lysosome","crg:105339958","cation-independent mannose-6-phosphate receptor","Day14_blue"
"276","crg04142","Lysosome","crg:105340059","clathrin heavy chain 1 isoform X1","Day14_blue"
