"","substanceBXH","geneSymbol","moduleColor","Uniprot","HGNC","GO.terms","GO.description","GS.proteintotal_protein","p.GS.proteintotal_protein","MM.red","p.MM.red","MM.yellow","p.MM.yellow","MM.pink","p.MM.pink","MM.purple","p.MM.purple","MM.blue","p.MM.blue","MM.turquoise","p.MM.turquoise","MM.black","p.MM.black","MM.brown","p.MM.brown","MM.grey","p.MM.grey","MM.green","p.MM.green","MM.magenta","p.MM.magenta"
"PGEN_.00g147340","PGEN_.00g147340","PGEN_.00g147340","red",NA,NA,NA,NA,0.519229812601834,2.13027626743227e-05,0.902890067073473,6.23356467591904e-23,0.613825436027956,1.83489298045547e-07,0.262533657994327,0.0427139013725824,0.133879515580056,0.307817936502976,0.475202920027256,0.000124696701500087,0.179088215678129,0.170959361619132,0.340168796354221,0.00782979227689273,0.317807326113337,0.013343767813441,0.371434725536706,0.00347889119890904,-0.102562019666869,0.43551468684546,0.111990452452861,0.3942637363383
"PGEN_.00g177520","PGEN_.00g177520","PGEN_.00g177520","red","P51893","SAHHA_XENLA","GO:0004013; GO:0006730","adenosylhomocysteinase activity [GO:0004013]; one-carbon metabolic process [GO:0006730]",0.519030622610011,2.14857750493147e-05,0.636550335279702,4.58453767239039e-08,0.291415653047345,0.0238778594421843,0.200174340792748,0.125154321978203,-0.0198938914522675,0.880077711613903,0.362045251155438,0.00447587694097302,-0.0587143029732026,0.655874176923383,0.135005328820139,0.303730562911879,-0.0241586990401905,0.854623326570464,0.129726758237777,0.323199939730082,-0.0698112281335544,0.596092866628769,0.155165494004742,0.236488528810202
"PGEN_.00g213740","PGEN_.00g213740","PGEN_.00g213740","red","P42577","FRIS_LYMST","GO:0004322; GO:0005623; GO:0005737; GO:0006826; GO:0006879; GO:0008199","cell [GO:0005623]; cytoplasm [GO:0005737]; ferric iron binding [GO:0008199]; ferroxidase activity [GO:0004322]; cellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]",0.518803529457351,2.16962012260361e-05,0.857685833975341,2.12252453222542e-18,0.342128728889079,0.0074587262644433,0.282780765951023,0.0285802075712089,-0.109898968716805,0.403209743772631,0.6629293807664,7.89464195924283e-09,-0.0612026092619363,0.642263306260666,0.032419062611434,0.805760353543378,0.00396069512333124,0.976039822959287,0.184876873878927,0.157318189683436,-0.113458616335314,0.388054361441065,0.340001295044793,0.00786223892633491
"PGEN_.00g163860","PGEN_.00g163860","PGEN_.00g163860","red",NA,NA,NA,NA,0.514767813872409,2.57692140378211e-05,0.899772705751491,1.49099647312481e-22,0.596234473529826,4.99123106532554e-07,0.0898294099614858,0.494884724234396,0.176931664347433,0.176255755912505,0.383059593631034,0.00252034601431133,0.150301986966063,0.251683802592011,0.229396028121969,0.0778819948262342,0.221972639298179,0.0882764834102434,0.300467088267494,0.0196675196483903,-0.0254032281350517,0.847221892518553,0.114408931620587,0.384066269421166
"PGEN_.00g297390","PGEN_.00g297390","PGEN_.00g297390","red",NA,NA,NA,NA,0.510804189877518,3.04486357180629e-05,0.921803595027688,1.52202747881153e-25,0.535879135398658,1.02209540626562e-05,0.0310779321300256,0.813648740230933,0.00455686641167781,0.972434598293069,0.387874347049591,0.00219783243541131,-0.009517887212695,0.942461880921992,0.182091697228102,0.163777695820306,0.137115544958387,0.296164262667604,0.168643713284617,0.197719016221785,-0.12473438880439,0.342326196911795,0.0890151523207411,0.49881945738429
"PGEN_.00g297740","PGEN_.00g297740","PGEN_.00g297740","red",NA,NA,NA,NA,0.509675963941515,3.19176575520894e-05,0.849415227005588,9.68570821002523e-18,0.334800653077462,0.00892974592301019,0.0573685673394567,0.663282258335273,-0.0930907682187505,0.479288224788822,0.535086808044198,1.05938703325363e-05,-0.126796147833227,0.334343589416592,0.0636823329236215,0.628814791741303,-0.0129214283010354,0.92194219577322,0.0680075938840343,0.605643840670064,-0.208376167844729,0.110106610641267,0.213332721005014,0.101712495802081
"PGEN_.00g007040","PGEN_.00g007040","PGEN_.00g007040","red","P86854","PLCL_MYTGA","GO:0005576; GO:0030246","extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]",0.509155404102618,3.2617322315135e-05,0.826162233051127,4.43408633655738e-16,0.750105525027671,5.26716653496218e-12,0.0279621598081525,0.8320453189916,0.310509806609813,0.0157517497127936,0.2199119948981,0.0913469655265377,0.189185975743644,0.147697750095248,0.342122279341358,0.00745992169534528,0.211936036317818,0.104025949874629,0.323677306942549,0.011643586693924,0.0819685435580095,0.533535318704235,-0.0360929114577257,0.784251733042753
"PGEN_.00g240940","PGEN_.00g240940","PGEN_.00g240940","red",NA,NA,NA,NA,0.506989284483075,3.5683760720137e-05,0.955938551949617,1.45965209996699e-32,0.643295319246185,2.97116134112764e-08,0.040401541700208,0.759230861954479,0.184105382183939,0.159088331553031,0.392243690224864,0.0019375852058161,0.145724123779605,0.266580260792408,0.27155038078683,0.0358357360935289,0.251984890618973,0.0521038561128174,0.291880905652579,0.0236442544004899,-0.0812275626124612,0.537253685828832,0.0853038026675618,0.516956834909423
"PGEN_.00g070790","PGEN_.00g070790","PGEN_.00g070790","red",NA,NA,NA,NA,0.506388020201727,3.6580994762395e-05,0.901888992820697,8.27446101754915e-23,0.77468854560051,3.80000439332255e-13,0.0302846976087485,0.818323193671817,0.286066020581437,0.0267069502567645,0.322470751402863,0.0119768958326707,0.229430765743294,0.0778357433764382,0.438294934086556,0.000460727749182745,0.259060626600226,0.045637901253901,0.343896790013346,0.00713725674755596,0.0182265241445802,0.890063726158948,-0.0213823473941785,0.87117882975685
"PGEN_.00g290650","PGEN_.00g290650","PGEN_.00g290650","red",NA,NA,NA,NA,0.50071621351924,4.61318188777725e-05,0.882300834289296,1.22775206740797e-20,0.266035067310116,0.0399239350101728,0.102569807807142,0.435479642706344,-0.0653127933743984,0.620036722191588,0.433038923236195,0.000548496198762639,-0.125165471787483,0.340647417028935,-0.0163516769246642,0.901312603231093,-0.013682486504672,0.917360274394459,0.0634852002919875,0.629879617214959,-0.191385241126297,0.14295980297768,0.151627563551504,0.247478044989534
"PGEN_.00g276360","PGEN_.00g276360","PGEN_.00g276360","red","A1A547","PGRP3_MOUSE","GO:0005615; GO:0008270; GO:0008745; GO:0009253; GO:0016019; GO:0016045; GO:0019730; GO:0031640; GO:0032689; GO:0032827; GO:0032991; GO:0042834; GO:0044117; GO:0045087; GO:0046982; GO:0050830; GO:0051714; GO:0061844","extracellular space [GO:0005615]; protein-containing complex [GO:0032991]; N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]; peptidoglycan binding [GO:0042834]; peptidoglycan receptor activity [GO:0016019]; protein heterodimerization activity [GO:0046982]; zinc ion binding [GO:0008270]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; antimicrobial humoral response [GO:0019730]; defense response to Gram-positive bacterium [GO:0050830]; detection of bacterium [GO:0016045]; growth of symbiont in host [GO:0044117]; innate immune response [GO:0045087]; killing of cells of other organism [GO:0031640]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of natural killer cell differentiation involved in immune response [GO:0032827]; peptidoglycan catabolic process [GO:0009253]; positive regulation of cytolysis in other organism [GO:0051714]",0.499939006337022,4.76066205485452e-05,0.882343394103779,1.21568310505483e-20,0.685880410470894,1.47240919828658e-09,0.0464696006116954,0.724410391744457,0.18343117829309,0.160647232548075,0.315021333965381,0.0142227929286281,0.139974056215896,0.286112515321002,0.326184878322313,0.0109764222220877,0.273977854175166,0.0341499268117067,0.319453770923044,0.0128465952855159,0.0312810044633318,0.812453086382062,0.0310833637124492,0.813616754519819
"PGEN_.00g092320","PGEN_.00g092320","PGEN_.00g092320","red","P82198","BGH3_MOUSE","GO:0001525; GO:0002062; GO:0005178; GO:0005518; GO:0005604; GO:0005615; GO:0005802; GO:0007155; GO:0008283; GO:0030198; GO:0031012; GO:0050839; GO:0050840; GO:0062023","basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; trans-Golgi network [GO:0005802]; cell adhesion molecule binding [GO:0050839]; collagen binding [GO:0005518]; extracellular matrix binding [GO:0050840]; integrin binding [GO:0005178]; angiogenesis [GO:0001525]; cell adhesion [GO:0007155]; cell population proliferation [GO:0008283]; chondrocyte differentiation [GO:0002062]; extracellular matrix organization [GO:0030198]",0.499264200595795,4.89222753204442e-05,0.964430118569269,3.30211613240739e-35,0.55079664269227,5.1167118548295e-06,0.00362957218620388,0.978042432131295,0.147470666157014,0.260828781957282,0.35759168781786,0.0050312774398617,0.0840269947197296,0.52327259175833,0.203583356008067,0.118720732042237,0.17185986795226,0.18917929698008,0.222507305513006,0.0874931902379489,-0.101296802245911,0.441228757503641,0.0538238315036322,0.682948015297431
"PGEN_.00g134530","PGEN_.00g134530","PGEN_.00g134530","red","O35643","AP1B1_MOUSE","GO:0005794; GO:0005802; GO:0005829; GO:0006886; GO:0007368; GO:0007507; GO:0016192; GO:0019901; GO:0030131; GO:0030276; GO:0030665; GO:0043231; GO:0048268","clathrin adaptor complex [GO:0030131]; clathrin-coated vesicle membrane [GO:0030665]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; trans-Golgi network [GO:0005802]; clathrin binding [GO:0030276]; protein kinase binding [GO:0019901]; clathrin coat assembly [GO:0048268]; determination of left/right symmetry [GO:0007368]; heart development [GO:0007507]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]",0.498006643866971,5.146404206664e-05,0.734331683319886,2.4387198309253e-11,0.585187178754257,9.08128742595958e-07,0.142345677327867,0.277945280612228,0.274479108455221,0.0338101735440463,0.49629180786414,5.51266376186194e-05,0.403540400826996,0.00138768560384284,0.299495940050578,0.0200866792909133,0.425537595501152,0.000700106420273326,0.554592771626286,4.26767916445428e-06,0.0116811897754049,0.929414346247438,0.162420461580634,0.215015949702445
"PGEN_.00g057170","PGEN_.00g057170","PGEN_.00g057170","red","P14272","KLKB1_RAT","GO:0004252; GO:0005615; GO:0006954; GO:0007596; GO:0031639; GO:0042730; GO:0051919; GO:0097421","extracellular space [GO:0005615]; serine-type endopeptidase activity [GO:0004252]; blood coagulation [GO:0007596]; fibrinolysis [GO:0042730]; inflammatory response [GO:0006954]; liver regeneration [GO:0097421]; plasminogen activation [GO:0031639]; positive regulation of fibrinolysis [GO:0051919]",0.493367223231352,6.1932224242442e-05,0.9562720285734,1.17643207069525e-32,0.387634761753025,0.00221296502396993,0.0294572496468732,0.823205972965333,0.0139256008708941,0.915897169778277,0.439083636972872,0.000448719644957482,-0.00598746146452127,0.963785738981666,0.0800837795507983,0.543018164854012,0.154105025051275,0.239746678230422,0.181291031161487,0.165670160022325,-0.212713821246517,0.102732664010238,0.104732294492708,0.425810617173824
"PGEN_.00g009920","PGEN_.00g009920","PGEN_.00g009920","red",NA,NA,NA,NA,0.490859557563334,6.83755345620954e-05,0.919429433820793,3.50452852712711e-25,0.328437041336915,0.0104056662511838,0.0525849456850167,0.689871763251492,-0.0557540817213642,0.672212207043892,0.492126000987545,6.5048061704725e-05,-0.109760416099603,0.403806533504202,0.043369541524655,0.742135223852514,0.0398863898528858,0.762210096551711,0.107004287887408,0.415784691801114,-0.187324081050344,0.15179941701074,0.161724215330515,0.217015151533183
"PGEN_.00g078540","PGEN_.00g078540","PGEN_.00g078540","red","A6H584","CO6A5_MOUSE","GO:0005576; GO:0005581; GO:0007155; GO:0031012; GO:0062023","collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; cell adhesion [GO:0007155]",0.490599158999294,6.90788508995942e-05,0.955315316998372,2.17473403505434e-32,0.439745829128296,0.000438858070943573,0.0234214361947523,0.8590138849479,0.0696309363612482,0.597044572235018,0.400739024267531,0.00150907784159967,0.044875368313649,0.733508247235825,0.13497466095249,0.303841438098068,0.18939883661727,0.147234133564337,0.223338766460208,0.0862859494846404,-0.150258481252367,0.251822654250568,0.080507212199315,0.540880640756739
"PGEN_.00g286740","PGEN_.00g286740","PGEN_.00g286740","red",NA,NA,NA,NA,0.475673397361161,0.000122516879875221,0.855124008459778,3.43095064888711e-18,0.775835536366735,3.33452576912791e-13,0.00470478695205582,0.971540161036839,0.330330906871869,0.00994579494328012,0.215312166254614,0.0985023357842671,0.178799572180915,0.171661449172147,0.330847175494058,0.00982353367103462,0.229241974292961,0.0780873726876724,0.300340377273081,0.019721784162465,0.0976034933038468,0.458145776430799,-0.0358375896521741,0.785741542021585
"PGEN_.00g247650","PGEN_.00g247650","PGEN_.00g247650","red",NA,NA,NA,NA,0.474390379086289,0.000128545363772023,0.940519072756855,7.08958352529397e-29,0.661837391575616,8.52043286921965e-09,0.0389886175264319,0.76741029480491,0.163346855468292,0.212375993353293,0.39742662178393,0.00166484379756732,0.186148947205882,0.154431303245617,0.260346928400173,0.0445363586131208,0.300370645702695,0.0197088100204534,0.341902749720341,0.00750071165194784,-0.0890943736348829,0.498435926890546,0.0317661820158301,0.809598175393656
"PGEN_.00g237240","PGEN_.00g237240","PGEN_.00g237240","red",NA,NA,NA,NA,0.473891303926104,0.000130962987449175,0.707231668530315,2.67614078245223e-10,0.176344413465453,0.177718435728791,0.16144268586923,0.217827221230436,0.094992422004102,0.47031620302699,0.484583740898598,8.73014722117803e-05,0.187060058392611,0.152387817732281,0.0188087441890053,0.886574745910924,0.20764844200661,0.111382652664572,0.335946608777576,0.00868426995748812,-0.252324422127668,0.0517774065604651,0.0895118140668558,0.496417517050053
"PGEN_.00g164540","PGEN_.00g164540","PGEN_.00g164540","red","Q16820","MEP1B_HUMAN","GO:0004222; GO:0005576; GO:0005887; GO:0006954; GO:0008270; GO:0017090; GO:0042802; GO:1901998","extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; meprin A complex [GO:0017090]; identical protein binding [GO:0042802]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; inflammatory response [GO:0006954]; toxin transport [GO:1901998]",0.472234519066342,0.000139291017170031,0.844597034470256,2.25063385670244e-17,0.150088339350514,0.252366174045946,0.0287846299087871,0.82718003593504,-0.0778637185044046,0.554291816925744,0.408081188669268,0.00120944759818638,-0.0959216723965347,0.465965075172857,-0.0435793872490653,0.740931082939531,0.0787637490912203,0.549707971239116,0.0915902063616606,0.486431587634147,-0.251253686656717,0.0528125808370247,0.122918216974562,0.34945541492229
"PGEN_.00g048440","PGEN_.00g048440","PGEN_.00g048440","red",NA,NA,NA,NA,0.466709131930401,0.000170700651566426,0.890699274761547,1.61761985780875e-21,0.771614667562011,5.37339794180818e-13,-0.0211602490571929,0.872505686638543,0.303036367447055,0.0185942944789152,0.220771574314577,0.0900561317019201,0.1960707384907,0.133245797594378,0.337047226072509,0.00845405578188813,0.218454448277198,0.0935688207044485,0.280416927108436,0.0299952130336475,0.0327194625032588,0.803996039188916,-0.036878323732922,0.779673680326972
"PGEN_.00g033640","PGEN_.00g033640","PGEN_.00g033640","red","P03952","KLKB1_HUMAN","GO:0002542; GO:0004252; GO:0005576; GO:0005615; GO:0005886; GO:0006508; GO:0007597; GO:0022617; GO:0031638; GO:0031639; GO:0042730; GO:0051919; GO:0070062","extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; serine-type endopeptidase activity [GO:0004252]; blood coagulation, intrinsic pathway [GO:0007597]; extracellular matrix disassembly [GO:0022617]; Factor XII activation [GO:0002542]; fibrinolysis [GO:0042730]; plasminogen activation [GO:0031639]; positive regulation of fibrinolysis [GO:0051919]; proteolysis [GO:0006508]; zymogen activation [GO:0031638]",0.465767574653172,0.000176658635425327,0.926313150859408,2.89598441973075e-26,0.733916117041082,2.53548296380227e-11,-0.0189640470376633,0.885644445300422,0.206458722549741,0.113493222965359,0.27967595958296,0.030450651158104,0.133586264353238,0.308888405343151,0.279257397216511,0.0307104686893063,0.210173524797841,0.107003211503753,0.265705067549268,0.040180285374173,-0.037307229065054,0.77717678131298,-0.0313968863049668,0.811770985261089
"PGEN_.00g348850","PGEN_.00g348850","PGEN_.00g348850","red","Q12913","PTPRJ_HUMAN","GO:0001772; GO:0004725; GO:0005161; GO:0005886; GO:0005887; GO:0005911; GO:0006470; GO:0008013; GO:0008285; GO:0009986; GO:0010642; GO:0016791; GO:0019901; GO:0030155; GO:0030183; GO:0030308; GO:0030336; GO:0032587; GO:0032760; GO:0035335; GO:0035579; GO:0035584; GO:0042059; GO:0043116; GO:0043312; GO:0043407; GO:0043410; GO:0045295; GO:0045296; GO:0045785; GO:0048008; GO:0050731; GO:0050852; GO:0050860; GO:0050918; GO:0051019; GO:0051894; GO:0051897; GO:0051898; GO:0060242; GO:0070062; GO:0070097; GO:1905451","cell surface [GO:0009986]; cell-cell junction [GO:0005911]; extracellular exosome [GO:0070062]; immunological synapse [GO:0001772]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; specific granule membrane [GO:0035579]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; delta-catenin binding [GO:0070097]; gamma-catenin binding [GO:0045295]; mitogen-activated protein kinase binding [GO:0051019]; phosphatase activity [GO:0016791]; platelet-derived growth factor receptor binding [GO:0005161]; protein kinase binding [GO:0019901]; protein tyrosine phosphatase activity [GO:0004725]; B cell differentiation [GO:0030183]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; contact inhibition [GO:0060242]; negative regulation of cell growth [GO:0030308]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of T cell receptor signaling pathway [GO:0050860]; negative regulation of vascular permeability [GO:0043116]; neutrophil degranulation [GO:0043312]; peptidyl-tyrosine dephosphorylation [GO:0035335]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive chemotaxis [GO:0050918]; positive regulation of cell adhesion [GO:0045785]; positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis [GO:1905451]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of tumor necrosis factor production [GO:0032760]; protein dephosphorylation [GO:0006470]; regulation of cell adhesion [GO:0030155]; T cell receptor signaling pathway [GO:0050852]",0.462889447146709,0.000196070968968997,0.913505454050235,2.5232082962428e-24,0.552000669409768,4.8317298262765e-06,-0.0218777710601403,0.868220353550152,0.217683064074576,0.094761666689929,0.346332290504274,0.00671429349502729,0.0863349212945353,0.511884604346269,0.145048660715834,0.268827218591388,0.176883502618516,0.176375383457066,0.284886417046789,0.0273673161612792,-0.0131702395672092,0.920443952291811,0.0376670080548459,0.775084031792489
"PGEN_.00g057130","PGEN_.00g057130","PGEN_.00g057130","red","Q95M17","CHIA_BOVIN","GO:0000272; GO:0002376; GO:0002532; GO:0004568; GO:0005576; GO:0005615; GO:0005737; GO:0006032; GO:0006915; GO:0008061; GO:0090197","cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; apoptotic process [GO:0006915]; chitin catabolic process [GO:0006032]; immune system process [GO:0002376]; polysaccharide catabolic process [GO:0000272]; positive regulation of chemokine secretion [GO:0090197]; production of molecular mediator involved in inflammatory response [GO:0002532]",0.460967273878461,0.000210102113311743,0.820306527172738,1.06304986992357e-15,0.472895160220156,0.000135913681624732,0.0358620051782423,0.785599043689292,0.0110605127652395,0.933156099008861,0.421128408121489,0.000806003739174484,0.00776302013021428,0.953057233779524,0.156827331014187,0.23144431573416,0.0947335970779463,0.471532005346879,0.178003017980708,0.173609861365855,-0.136146343590857,0.29962399863117,0.115271460055574,0.380467816017783
"PGEN_.00g085800","PGEN_.00g085800","PGEN_.00g085800","red","P74615","Y1483_SYNY3","GO:0005615; GO:0030288","extracellular space [GO:0005615]; outer membrane-bounded periplasmic space [GO:0030288]",0.460400976719713,0.000214407563162476,0.822269851422907,7.95750397395996e-16,0.764151751824018,1.21911881391954e-12,0.024138622471192,0.854742829424263,0.336913146590663,0.0084818136448325,0.322549465451038,0.0119549027839997,0.373517371432406,0.00328648494652553,0.394401824162434,0.00181950574597477,0.354816704857332,0.0054072481535565,0.450337241129262,0.000305682326347517,-0.0542789356268201,0.680411053095909,-0.0832061167746195,0.527353347538971
