"","Pgen_ID","gene","day_count","Days","Category"
"49","PGEN_.00g050060",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"50","PGEN_.00g050070",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"51","PGEN_.00g051370","Coiled-coil domain-containing protein 6",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"52","PGEN_.00g057280",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"53","PGEN_.00g057290","Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (Chitobiase) (N-acetyl-beta-glucosaminidase)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"54","PGEN_.00g057630","Sterile alpha motif domain-containing protein 11 (SAM domain-containing protein 11) (Major retinal SAM domain-containing protein) (Mr-s)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"55","PGEN_.00g058090",NA,2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"56","PGEN_.00g058440","Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"57","PGEN_.00g058530","Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"58","PGEN_.00g062110","Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"59","PGEN_.00g062810",NA,2,"c(Day21, Day14)","recovery_prep_reg_14&21"
"60","PGEN_.00g064210","Probable G-protein coupled receptor 158",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"61","PGEN_.00g064970","Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"62","PGEN_.00g065300","Circularly permutated Ras protein 1 (DdiCPRas1)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"63","PGEN_.00g067330","Synaptotagmin-like protein 5",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"64","PGEN_.00g068090",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"65","PGEN_.00g072360","Protein SON (Negative regulatory element-binding protein) (NRE-binding protein)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"66","PGEN_.00g075780","Charged multivesicular body protein 2b (Chromatin-modifying protein 2b) (CHMP2b)",2,"c(Day7, Day14)","stress_induc_recovery_7&14"
"67","PGEN_.00g077090",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"68","PGEN_.00g077330","Anoctamin-4 (Transmembrane protein 16D)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"69","PGEN_.00g077560","Trophoblast glycoprotein (5T4 oncofetal antigen) (5T4 oncofetal trophoblast glycoprotein) (5T4 oncotrophoblast glycoprotein) (M6P1) (Wnt-activated inhibitory factor 1) (WAIF1)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"70","PGEN_.00g080890","Heat shock 70 kDa protein 12B",2,"c(Day21, Day14)","recovery_prep_reg_14&21"
"71","PGEN_.00g082950","Cytoplasmic FMR1-interacting protein (Specifically Rac1-associated protein 1) (DSra-1)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"72","PGEN_.00g083480",NA,2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"73","PGEN_.00g093280","Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"74","PGEN_.00g093430","Creatine transporter",2,"c(Day14, Day7)","stress_induc_recovery_7&14"
"75","PGEN_.00g093560","Glutaredoxin domain-containing cysteine-rich protein CG31559",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"76","PGEN_.00g093630",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"77","PGEN_.00g095660","Protocadherin-9",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"78","PGEN_.00g095810",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"79","PGEN_.00g100250","NEDD4-binding protein 2 (N4BP2) (EC 3.-.-.-) (BCL-3-binding protein)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"80","PGEN_.00g103390",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"81","PGEN_.00g103860","B-cell lymphoma 3 protein homolog (BCL-3)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"82","PGEN_.00g104030","B-cell lymphoma 3 protein (BCL-3) (Proto-oncogene BCL3)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"83","PGEN_.00g104470","Receptor-type tyrosine-protein phosphatase mu (Protein-tyrosine phosphatase mu) (R-PTP-mu) (EC 3.1.3.48)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"84","PGEN_.00g108560","Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"85","PGEN_.00g108980","Sodium/potassium-transporting ATPase subunit alpha (Na(+)/K(+) ATPase alpha subunit) (EC 7.2.2.13) (Sodium pump subunit alpha) (TNaK1-alpha)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"86","PGEN_.00g109150","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"87","PGEN_.00g110930","Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"88","PGEN_.00g112360","Charged multivesicular body protein 5 (Chromatin-modifying protein 5)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"89","PGEN_.00g112680",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"90","PGEN_.00g112690","N-chimaerin (A-chimaerin) (Alpha-chimerin) (N-chimerin) (NC) (Rho GTPase-activating protein 2)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"91","PGEN_.00g115650",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"92","PGEN_.00g116670","Sortilin-related receptor (Gp250) (Low-density lipoprotein receptor relative with 11 ligand-binding repeats) (LDLR relative with 11 ligand-binding repeats) (LR11) (SorLA-1) (Sorting protein-related receptor containing LDLR class A repeats) (mSorLA)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"93","PGEN_.00g116950","Methyl-CpG-binding domain protein 6 (Methyl-CpG-binding protein MBD6)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"94","PGEN_.00g117820",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"95","PGEN_.00g118660",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"96","PGEN_.00g119140","Metabotropic glutamate receptor 3 (mGluR3)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"97","PGEN_.00g119320","DDB1- and CUL4-associated factor 8 (WD repeat-containing protein 42A)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"98","PGEN_.00g121110","E3 ubiquitin-protein ligase CBL-B (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene b) (RING finger protein 56) (RING-type E3 ubiquitin transferase CBL-B) (SH3-binding protein CBL-B) (Signal transduction protein CBL-B)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"99","PGEN_.00g122400","AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"100","PGEN_.00g127260","Protein SON (Negative regulatory element-binding protein) (NRE-binding protein)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"101","PGEN_.00g129550","Signal peptide peptidase-like 3 (SPP-like 3) (EC 3.4.23.-) (Intramembrane protease 2) (IMP-2) (Presenilin-like protein 4)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"102","PGEN_.00g129780","Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"103","PGEN_.00g131960","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)",2,"c(Day14, Day7)","stress_induc_recovery_7&14"
"104","PGEN_.00g139380","Protein phosphatase Slingshot homolog 2 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 2) (SSH-2L) (hSSH-2L)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"105","PGEN_.00g139740","Calcium-activated chloride channel regulator 4A (EC 3.4.-.-) (Calcium-activated chloride channel regulator 6) (mClca6) [Cleaved into: Calcium-activated chloride channel regulator 4A, 110 kDa form; Calcium-activated chloride channel regulator 4A, 30 kDa form]",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"106","PGEN_.00g140090","A-kinase anchor protein 1, mitochondrial (Dual specificity A-kinase-anchoring protein 1) (D-AKAP-1) (Protein kinase A-anchoring protein 1) (PRKA1) (Spermatid A-kinase anchor protein) (S-AKAP)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"107","PGEN_.00g140790","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"108","PGEN_.00g141330","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"109","PGEN_.00g142260","Protein phosphatase 1E (EC 3.1.3.16) (Ca(2+)/calmodulin-dependent protein kinase phosphatase N) (CaMKP-N) (CaMKP-nucleus) (CaMKN) (Partner of PIX 1) (Partner of PIX-alpha) (Partner of PIXA)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"110","PGEN_.00g142880","Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)",2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"111","PGEN_.00g145970","Metabotropic glutamate receptor 7 (mGluR7)",2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"112","PGEN_.00g146100",NA,2,"c(Day14, Day7)","stress_induc_recovery_7&14"
"113","PGEN_.00g146110",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"114","PGEN_.00g149230","Switch-associated protein 70 (SWAP-70)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"115","PGEN_.00g150040","Zinc finger protein 37 (Zfp-37) (Male germ cell-specific zinc finger protein)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"116","PGEN_.00g152700",NA,2,"c(Day21, Day14)","recovery_prep_reg_14&21"
"117","PGEN_.00g156620","Fibrillin-2 [Cleaved into: Fibrillin-2 C-terminal peptide]",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"118","PGEN_.00g160220",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"119","PGEN_.00g162570",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"120","PGEN_.00g163020","LIX1-like protein",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"121","PGEN_.00g164190","Rho GTPase-activating protein 5 (Rho-type GTPase-activating protein 5) (p190-B)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"122","PGEN_.00g172320","Nuclear receptor coactivator 5 (NCoA-5) (Coactivator independent of AF-2) (CIA)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"123","PGEN_.00g173580","Bactericidal permeability-increasing protein (BPI) (CAP 57)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"124","PGEN_.00g177580","Nibrin (Nijmegen breakage syndrome protein 1 homolog)",2,"c(Day14, Day7)","stress_induc_recovery_7&14"
"125","PGEN_.00g178010",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"126","PGEN_.00g181830","Disheveled-associated activator of morphogenesis 2",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"127","PGEN_.00g183190","Protein tamozhennic",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"128","PGEN_.00g183420","Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (N-acetyl-beta-glucosaminidase subunit beta)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"129","PGEN_.00g183550","RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31) (Heme-oxidized IRP2 ubiquitin ligase 1 homolog) (HOIL-1) (Heme-oxidized IRP2 ubiquitin transferase 1 homolog)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"130","PGEN_.00g186060","PH domain leucine-rich repeat protein phosphatase 1 (EC 3.1.3.16) (Pleckstrin homology domain-containing family E member 1) (PH domain-containing family E member 1) (Suprachiasmatic nucleus circadian oscillatory protein)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"131","PGEN_.00g186360","Kelch domain-containing protein 4",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"132","PGEN_.00g188710","Low-density lipoprotein receptor-related protein (LRP)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"133","PGEN_.00g189330",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"134","PGEN_.00g189340","Transcription and mRNA export factor ENY2 (Enhancer of yellow 2 transcription factor homolog)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"135","PGEN_.00g189620",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"136","PGEN_.00g191540",NA,2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"137","PGEN_.00g192440","Excitatory amino acid transporter 2 (GLT-1) (Sodium-dependent glutamate/aspartate transporter 2) (GLUT-R) (Solute carrier family 1 member 2)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"138","PGEN_.00g192550","Receptor expression-enhancing protein 6",2,"c(Day21, Day14)","recovery_prep_reg_14&21"
"139","PGEN_.00g194270",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"140","PGEN_.00g197410",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"141","PGEN_.00g199920","Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"142","PGEN_.00g200830",NA,2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"143","PGEN_.00g201710",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"144","PGEN_.00g202790","Histone-lysine N-methyltransferase ASH1L (EC 2.1.1.-) (ASH1-like protein) (Absent small and homeotic disks protein 1 homolog)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"145","PGEN_.00g203910","LysM and putative peptidoglycan-binding domain-containing protein 3",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"146","PGEN_.00g206640",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"147","PGEN_.00g207030","Serine/threonine-protein kinase CLA4 (EC 2.7.11.1)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"148","PGEN_.00g210290","Toll-like receptor 4 (PmTLR4)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"149","PGEN_.00g210880",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"150","PGEN_.00g213130","Actin",2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"151","PGEN_.00g213830","F-box DNA helicase 1 (EC 3.6.4.12) (F-box only protein 18)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"152","PGEN_.00g214370","Dedicator of cytokinesis protein 3 (Modifier of cell adhesion) (Presenilin-binding protein) (PBP)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"153","PGEN_.00g214510","Interferon-inducible GTPase 5 (EC 3.6.5.-) (Immunity-related GTPase cinema 1)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"154","PGEN_.00g214790","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"155","PGEN_.00g214800",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"156","PGEN_.00g215190","Interleukin-17 receptor D (IL-17 receptor D) (IL-17RD) (Interleukin-17 receptor-like protein) (Sef homolog) (mSef)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"157","PGEN_.00g216380",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"158","PGEN_.00g218760","LHFPL tetraspan subfamily member 3 protein (Lipoma HMGIC fusion partner-like 3 protein)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"159","PGEN_.00g219410","Histone-lysine N-methyltransferase SETD5 (EC 2.1.1.-) (SET domain-containing protein 5)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"160","PGEN_.00g220600","Optineurin (Ag9-C5) (FIP-2)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"161","PGEN_.00g223150","Serine/threonine-protein kinase Nek11 (EC 2.7.11.1) (Never in mitosis A-related kinase 11) (NimA-related protein kinase 11)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"162","PGEN_.00g223160","Bacterial dynamin-like protein (BDLP) (EC 3.6.5.5)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"163","PGEN_.00g223660","Sortilin",2,"c(Day7, Day14)","stress_induc_recovery_7&14"
"164","PGEN_.00g223990","FYVE, RhoGEF and PH domain-containing protein 4 (Actin filament-binding protein frabin) (FGD1-related F-actin-binding protein) (Zinc finger FYVE domain-containing protein 6)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"165","PGEN_.00g224740","Glycogenin-1 (GN-1) (GN1) (EC 2.4.1.186)",2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"166","PGEN_.00g226720",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
