"","V1","V2","V3","V4","V5","V6","V7","V8","V9","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"14","PGEN_.00g319240","Scaffold_16",9664728,9699023,"Q761V0","SC6A5_MOUSE","Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)","GO:0001504; GO:0005886; GO:0015187; GO:0015375; GO:0015816; GO:0046872; GO:0060012; GO:0098690; GO:0098810; GO:0099056; GO:1903804","glycinergic synapse [GO:0098690]; integral component of presynaptic membrane [GO:0099056]; plasma membrane [GO:0005886]; glycine transmembrane transporter activity [GO:0015187]; glycine:sodium symporter activity [GO:0015375]; metal ion binding [GO:0046872]; glycine import across plasma membrane [GO:1903804]; glycine transport [GO:0015816]; neurotransmitter reuptake [GO:0098810]; neurotransmitter uptake [GO:0001504]; synaptic transmission, glycinergic [GO:0060012]",83.5893635053849,-4.11025117877218,1.03506026434475,-3.97102595893216,7.15637802029265e-05,0.0169750529235634
"15","PGEN_.00g219240","Scaffold_10",40224809,40228151,NA,NA,NA,NA,NA,95.3478024777528,-4.27263385471347,1.14662325110225,-3.72627526138702,0.000194330180882522,0.0414052838733694
"16","PGEN_.00g017190","Scaffold_01",46610954,46629296,NA,NA,NA,NA,NA,356.785722871371,-0.730603185390083,0.198822286224306,-3.67465438238566,0.000238171597602602,0.0446086357873374
"17","PGEN_.00g056010","Scaffold_02",63442601,63477293,"Q13231","CHIT1_HUMAN","Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)","GO:0000272; GO:0004553; GO:0004568; GO:0005576; GO:0005615; GO:0005737; GO:0005764; GO:0006032; GO:0006955; GO:0008061; GO:0008843; GO:0009617; GO:0035580; GO:0043312; GO:0044245; GO:1904724","cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosome [GO:0005764]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; endochitinase activity [GO:0008843]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; chitin catabolic process [GO:0006032]; immune response [GO:0006955]; neutrophil degranulation [GO:0043312]; polysaccharide catabolic process [GO:0000272]; polysaccharide digestion [GO:0044245]; response to bacterium [GO:0009617]",1621.94179827189,-2.94616979087827,0.813781798182439,-3.62034368114213,0.000294211957683232,0.0446086357873374
"18","PGEN_.00g082660","Scaffold_04",10412164,10416779,"O08623","SQSTM_RAT","Sequestosome-1 (Protein kinase C-zeta-interacting protein) (PKC-zeta-interacting protein) (Ubiquitin-binding protein p62)","GO:0000122; GO:0000407; GO:0000423; GO:0000932; GO:0001934; GO:0002376; GO:0002931; GO:0005080; GO:0005737; GO:0005739; GO:0005770; GO:0005776; GO:0005783; GO:0005829; GO:0006914; GO:0006915; GO:0007005; GO:0007032; GO:0008270; GO:0016234; GO:0016235; GO:0016236; GO:0016605; GO:0019899; GO:0019901; GO:0030017; GO:0030154; GO:0031397; GO:0031625; GO:0035255; GO:0035973; GO:0042169; GO:0042802; GO:0043122; GO:0043130; GO:0044753; GO:0044754; GO:0044877; GO:0061635; GO:0061912; GO:0070530; GO:0097225; GO:0097413; GO:0098780; GO:1900273; GO:1903078; GO:1905719","aggresome [GO:0016235]; amphisome [GO:0044753]; autolysosome [GO:0044754]; autophagosome [GO:0005776]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; inclusion body [GO:0016234]; late endosome [GO:0005770]; Lewy body [GO:0097413]; mitochondrion [GO:0005739]; P-body [GO:0000932]; phagophore assembly site [GO:0000407]; PML body [GO:0016605]; sarcomere [GO:0030017]; sperm midpiece [GO:0097225]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; ionotropic glutamate receptor binding [GO:0035255]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; protein kinase binding [GO:0019901]; protein kinase C binding [GO:0005080]; protein-containing complex binding [GO:0044877]; SH2 domain binding [GO:0042169]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]; aggrephagy [GO:0035973]; apoptotic process [GO:0006915]; autophagy [GO:0006914]; cell differentiation [GO:0030154]; endosome organization [GO:0007032]; immune system process [GO:0002376]; macroautophagy [GO:0016236]; mitochondrion organization [GO:0007005]; mitophagy [GO:0000423]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein phosphorylation [GO:0001934]; protein localization to perinuclear region of cytoplasm [GO:1905719]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of protein complex stability [GO:0061635]; response to ischemia [GO:0002931]; response to mitochondrial depolarisation [GO:0098780]; selective autophagy [GO:0061912]",90.6413601706223,-2.07327224483985,0.571345147429252,-3.62875619784026,0.000284790034152866,0.0446086357873374
"19","PGEN_.00g169010","Scaffold_08",1567491,1574464,"Q19673","TYR3_CAEEL","Putative tyrosinase-like protein tyr-3","GO:0005507; GO:0016716; GO:0042438","copper ion binding [GO:0005507]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen [GO:0016716]; melanin biosynthetic process [GO:0042438]",60.9879284554965,-3.10870618123266,0.855664861349937,-3.63308851590355,0.000280048894111614,0.0446086357873374
"20","PGEN_.00g230540","Scaffold_11",18095503,18112469,"Q9GKX2","DHRS4_RABIT","Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase/NADP-retinol dehydrogenase) (CR) (PHCR) (NADPH-dependent retinol dehydrogenase/reductase) (NDRD) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD) (rabNRDR) (Fragment)","GO:0004090; GO:0005739; GO:0005777","mitochondrion [GO:0005739]; peroxisome [GO:0005777]; carbonyl reductase (NADPH) activity [GO:0004090]",42.8318773766805,-3.09717884225934,0.858119474222597,-3.60926297013035,0.000307068206295814,0.0446086357873374
"21","PGEN_.00g295020","Scaffold_14",43030070,43034658,NA,NA,NA,NA,NA,805.680523309237,-5.37865480915384,1.47316931253673,-3.65107714597451,0.000261142777400536,0.0446086357873374
"22","PGEN_.00g307050","Scaffold_15",25132507,25134341,"P58374","RL30_BRABE","60S ribosomal protein L30","GO:0003723; GO:0003735; GO:0022625","cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]",1641.80343236255,-1.00547955573421,0.273671864120492,-3.67403334999583,0.000238751549950772,0.0446086357873374
"23","PGEN_.00g263880","Scaffold_13",11814526,11830199,NA,NA,NA,NA,NA,45.7838478790852,-3.31976524850951,0.926874382663087,-3.58167763680251,0.000341394887695643,0.0474390461337076
"24","PGEN_.00g088760","Scaffold_04",26029067,26052003,NA,NA,NA,NA,NA,52.2892552534912,-3.51252526791208,0.984816515572475,-3.56667989657976,0.000361532652283352,0.0481440981957331
"25","PGEN_.00g313910","Scaffold_15",43570290,43581101,NA,NA,NA,NA,NA,83.5934200751692,-3.40510893639864,0.960978584890995,-3.54337650176136,0.000395038284317184,0.049480791852781
"26","PGEN_.00g322560","Scaffold_16",18050311,18059841,"Q5R4Q3","SEC62_PONAB","Translocation protein SEC62 (Translocation protein 1) (TP-1)","GO:0005791; GO:0030176; GO:0031204","integral component of endoplasmic reticulum membrane [GO:0030176]; rough endoplasmic reticulum [GO:0005791]; posttranslational protein targeting to membrane, translocation [GO:0031204]",151.307170985187,-1.45786617046158,0.41201090339764,-3.53841647985359,0.000402534602056416,0.049480791852781
