"","GO_terms","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","dir","effect","slim_term","Gene_IDs"
"15","GO:0006954",0.0214399770840207,0.997057770081637,3,116,"inflammatory response","BP","Down","MAvAM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g199810;PGEN_.00g279590;PGEN_.00g346230"
"16","GO:0006955",0.00826224525162063,0.999208140541391,3,82,"immune response","BP","Down","MAvAM","immune system process","PGEN_.00g057120;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g344510"
"17","GO:0007157",0.0343701490021544,0.994352360860715,3,117,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","BP","Down","MAvAM","cell adhesion","PGEN_.00g046020;PGEN_.00g085780;PGEN_.00g095380;PGEN_.00g116130;PGEN_.00g177260;PGEN_.00g211890;PGEN_.00g332560"
"18","GO:0007160",0.0447773961316237,0.995322782055346,2,57,"cell-matrix adhesion","BP","Down","MAvAM","cell adhesion","PGEN_.00g046020;PGEN_.00g085780;PGEN_.00g095380;PGEN_.00g116130;PGEN_.00g177260;PGEN_.00g211890;PGEN_.00g332560"
"19","GO:0007162",0.00919313440833922,0.999597445364972,2,27,"negative regulation of cell adhesion","BP","Down","MAvAM","cell adhesion","PGEN_.00g046020;PGEN_.00g085780;PGEN_.00g095380;PGEN_.00g116130;PGEN_.00g177260;PGEN_.00g211890;PGEN_.00g332560"
"20","GO:0007597",0.000294978178868725,0.999998402393576,2,5,"blood coagulation, intrinsic pathway","BP","Down","MAvAM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g199810;PGEN_.00g279590;PGEN_.00g346230"
"21","GO:0007601",0.0333343873250373,0.994582867300502,3,123,"visual perception","BP","Down","MAvAM","nervous system process","PGEN_.00g085780;PGEN_.00g095380;PGEN_.00g332560"
"22","GO:0010839",0.0332607792990571,0.997055073319783,2,49,"negative regulation of keratinocyte proliferation","BP","Down","MAvAM","cell population proliferation","PGEN_.00g086610;PGEN_.00g086660"
"23","GO:0022617",0.00226003700068322,0.999955022425925,2,13,"extracellular matrix disassembly","BP","Down","MAvAM","extracellular matrix organization","PGEN_.00g033640;PGEN_.00g057190"
"24","GO:0030512",0.0439003243500573,0.995449529191341,2,65,"negative regulation of transforming growth factor beta receptor signaling pathway","BP","Down","MAvAM","signal transduction","PGEN_.00g086610;PGEN_.00g086660"
"25","GO:0031638",0.000483117788349283,0.999983819437561,3,27,"zymogen activation","BP","Down","MAvAM","protein maturation","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g344990"
"26","GO:0031639",1.457158181236e-05,0.999999878517348,3,9,"plasminogen activation","BP","Down","MAvAM","protein maturation","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g344990"
"27","GO:0042246",0.00638654806121398,0.999768399999453,2,27,"tissue regeneration","BP","Down","MAvAM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g199810;PGEN_.00g279590;PGEN_.00g346230"
"28","GO:0042246",0.00638654806121398,0.999768399999453,2,27,"tissue regeneration","BP","Down","MAvAM","growth","PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"29","GO:0042246",0.00638654806121398,0.999768399999453,2,27,"tissue regeneration","BP","Down","MAvAM","anatomical structure development","PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"30","GO:0042730",0.00032262359552838,0.999990692914704,3,24,"fibrinolysis","BP","Down","MAvAM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g199810;PGEN_.00g279590;PGEN_.00g346230"
"31","GO:0045616",0.0136732452249056,0.999257988901124,2,31,"regulation of keratinocyte differentiation","BP","Down","MAvAM","anatomical structure development","PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"32","GO:0045616",0.0136732452249056,0.999257988901124,2,31,"regulation of keratinocyte differentiation","BP","Down","MAvAM","cell differentiation","PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990"
"33","GO:0048678",0.0185025700361656,0.998809647985521,2,40,"response to axon injury","BP","Down","MAvAM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g199810;PGEN_.00g279590;PGEN_.00g346230"
"34","GO:0051603",0.0239468346114708,0.998230571181374,2,42,"proteolysis involved in cellular protein catabolic process","BP","Down","MAvAM","catabolic process","PGEN_.00g006380;PGEN_.00g057120;PGEN_.00g169480;PGEN_.00g285590"
"35","GO:0051919",2.07703789921831e-05,0.999999797895657,3,10,"positive regulation of fibrinolysis","BP","Down","MAvAM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g199810;PGEN_.00g279590;PGEN_.00g346230"
"36","GO:0061045",0.0135643774505265,0.99926819763253,2,30,"negative regulation of wound healing","BP","Down","MAvAM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g199810;PGEN_.00g279590;PGEN_.00g346230"
"37","GO:0072675",0.0109392901568378,0.999475615813443,2,27,"osteoclast fusion","BP","Down","MAvAM","immune system process","PGEN_.00g057120;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g344510"
"38","GO:0072675",0.0109392901568378,0.999475615813443,2,27,"osteoclast fusion","BP","Down","MAvAM","cell differentiation","PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990"
"39","GO:0072675",0.0109392901568378,0.999475615813443,2,27,"osteoclast fusion","BP","Down","MAvAM","anatomical structure formation invo...","PGEN_.00g086610;PGEN_.00g086660"
"40","GO:0072675",0.0109392901568378,0.999475615813443,2,27,"osteoclast fusion","BP","Down","MAvAM","anatomical structure development","PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"41","GO:1901998",0.00446205096326051,0.999868840150653,2,19,"toxin transport","BP","Down","MAvAM","transport","PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g164540;PGEN_.00g164660"
