"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","effect","dir","Gene_terms"
"29","PGEN_.00g164650","peptidase activity",2.26036304634216e-06,"GO:0004252","serine-type endopeptidase activity","MF","MAvAM","Down","Meprin A subunit alpha"
"30","PGEN_.00g164660","peptidase activity",0.000898765321457292,"GO:0004222","metalloendopeptidase activity","MF","MAvAM","Down","Meprin A subunit beta"
"31","PGEN_.00g164660","peptidase activity",2.26036304634216e-06,"GO:0004252","serine-type endopeptidase activity","MF","MAvAM","Down","Meprin A subunit beta"
"32","PGEN_.00g164660","ion binding",0.0132669435163804,"GO:0008270","zinc ion binding","MF","MAvAM","Down","Meprin A subunit beta"
"33","PGEN_.00g169480","hydrolase activity, acting on glyco...",0.0049732742936172,"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","MF","MAvAM","Down","Chitotriosidase-1"
"34","PGEN_.00g169480","hydrolase activity, acting on glyco...",0.00106120956883581,"GO:0008843","endochitinase activity","MF","MAvAM","Down","Chitotriosidase-1"
"35","PGEN_.00g169480","hydrolase activity, acting on glyco...",0.00468485168684865,"GO:0004568","chitinase activity","MF","MAvAM","Down","Chitotriosidase-1"
"36","PGEN_.00g174890","ion binding",0.0132669435163804,"GO:0008270","zinc ion binding","MF","MAvAM","Down","Carboxypeptidase B"
"37","PGEN_.00g199810","peptidase activity",0.000898765321457292,"GO:0004222","metalloendopeptidase activity","MF","MAvAM","Down","Neuroendocrine convertase 1 (NEC 1)"
"38","PGEN_.00g199810","peptidase activity",2.26036304634216e-06,"GO:0004252","serine-type endopeptidase activity","MF","MAvAM","Down","Neuroendocrine convertase 1 (NEC 1)"
"39","PGEN_.00g263590","ion binding",0.0132669435163804,"GO:0008270","zinc ion binding","MF","MAvAM","Down","E3 ubiquitin-protein ligase HERC2"
"40","PGEN_.00g276360","ion binding",0.0132669435163804,"GO:0008270","zinc ion binding","MF","MAvAM","Down","Peptidoglycan recognition protein 3 (Peptidoglycan recognition protein I-alpha) (PGLYRPIalpha) (PGRP-I-alpha) (Peptidoglycan recognition protein intermediate alpha)"
"41","PGEN_.00g285590","peptidase activity",0.000898765321457292,"GO:0004222","metalloendopeptidase activity","MF","MAvAM","Down","A disintegrin and metalloproteinase with thrombospondin motifs 7 (ADAM-TS 7) (ADAM-TS7) (ADAMTS-7)"
"42","PGEN_.00g285590","peptidase activity",2.26036304634216e-06,"GO:0004252","serine-type endopeptidase activity","MF","MAvAM","Down","A disintegrin and metalloproteinase with thrombospondin motifs 7 (ADAM-TS 7) (ADAM-TS7) (ADAMTS-7)"
"43","PGEN_.00g308130","ion binding",0.0132669435163804,"GO:0008270","zinc ion binding","MF","MAvAM","Down","Transcription factor GATA-4 (GATA-binding factor 4) (Fragment)"
"44","PGEN_.00g332560","structural molecule activity",0.00166406674552571,"GO:0005201","extracellular matrix structural constituent","MF","MAvAM","Down","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"45","PGEN_.00g344990","peptidase activity",0.000898765321457292,"GO:0004222","metalloendopeptidase activity","MF","MAvAM","Down","Neurotrypsin"
"46","PGEN_.00g344990","peptidase activity",2.26036304634216e-06,"GO:0004252","serine-type endopeptidase activity","MF","MAvAM","Down","Neurotrypsin"
