"","Gene.ID","Freq","mean.LFC","sd.LFC","Uniprot","HGNC","fxn","Go.terms","Go.fxns","gene.length"
"11","PGEN_.00g199810",3,4.53193843774125,1.63347878459727,"P28840","NEC1_RAT","Neuroendocrine convertase 1 (NEC 1) (EC 3.4.21.93) (Prohormone convertase 1) (Proprotein convertase 1) (PC1)","GO:0004175; GO:0004252; GO:0005615; GO:0005791; GO:0005802; GO:0006508; GO:0009749; GO:0010035; GO:0010157; GO:0014070; GO:0016020; GO:0016485; GO:0016486; GO:0016540; GO:0021983; GO:0022008; GO:0030133; GO:0030141; GO:0030425; GO:0031016; GO:0031667; GO:0032496; GO:0034774; GO:0042493; GO:0042802; GO:0043005; GO:0043025; GO:0043043; GO:0043204; GO:0043278; GO:0043434; GO:0043559; GO:0043679; GO:0044877; GO:0048471; GO:0048678; GO:0050714; GO:0051087; GO:0051384; GO:0051592; GO:0070542; GO:0070555","axon terminus [GO:0043679]; dendrite [GO:0030425]; extracellular space [GO:0005615]; membrane [GO:0016020]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; rough endoplasmic reticulum [GO:0005791]; secretory granule [GO:0030141]; secretory granule lumen [GO:0034774]; trans-Golgi network [GO:0005802]; transport vesicle [GO:0030133]; chaperone binding [GO:0051087]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; insulin binding [GO:0043559]; protein-containing complex binding [GO:0044877]; serine-type endopeptidase activity [GO:0004252]; neurogenesis [GO:0022008]; pancreas development [GO:0031016]; peptide biosynthetic process [GO:0043043]; peptide hormone processing [GO:0016486]; pituitary gland development [GO:0021983]; positive regulation of protein secretion [GO:0050714]; protein autoprocessing [GO:0016540]; protein processing [GO:0016485]; proteolysis [GO:0006508]; response to axon injury [GO:0048678]; response to calcium ion [GO:0051592]; response to chlorate [GO:0010157]; response to drug [GO:0042493]; response to fatty acid [GO:0070542]; response to glucocorticoid [GO:0051384]; response to glucose [GO:0009749]; response to inorganic substance [GO:0010035]; response to interleukin-1 [GO:0070555]; response to lipopolysaccharide [GO:0032496]; response to morphine [GO:0043278]; response to nutrient levels [GO:0031667]; response to organic cyclic compound [GO:0014070]; response to peptide hormone [GO:0043434]",29363
"12","PGEN_.00g211250",3,4.07194498452085,1.04110198048857,"Q9BXJ4","C1QT3_HUMAN","Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26)","GO:0005581; GO:0005623; GO:0010629; GO:0016020; GO:0035356; GO:0045444; GO:0045721; GO:0050715; GO:0050728; GO:0070062; GO:0070165; GO:0070206; GO:0071638; GO:1900165; GO:1901223","cell [GO:0005623]; collagen trimer [GO:0005581]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; cellular triglyceride homeostasis [GO:0035356]; fat cell differentiation [GO:0045444]; negative regulation of gene expression [GO:0010629]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-6 secretion [GO:1900165]; negative regulation of monocyte chemotactic protein-1 production [GO:0071638]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; positive regulation of adiponectin secretion [GO:0070165]; positive regulation of cytokine secretion [GO:0050715]; protein trimerization [GO:0070206]",20121
"13","PGEN_.00g266130",3,-14.0945396446971,5.80365815954766,"Q5XWD5","IF_CANLF","Cobalamin binding intrinsic factor (Gastric intrinsic factor) (Intrinsic factor) (IF) (INF) (Pancreatic intrinsic factor)","GO:0005576; GO:0006824; GO:0015889; GO:0031419","extracellular region [GO:0005576]; cobalamin binding [GO:0031419]; cobalamin transport [GO:0015889]; cobalt ion transport [GO:0006824]",12468
"14","PGEN_.00g272710",3,4.51871888720993,1.55747842201082,"B3EWZ3","CADN_ACRMI","Coadhesin (Fragment)","GO:0016021","integral component of membrane [GO:0016021]",27585
"15","PGEN_.00g279590",3,5.53680602078569,2.52276710581301,"Q8SPI0","APOD_MACFA","Apolipoprotein D (Apo-D) (ApoD)","GO:0000302; GO:0005615; GO:0005783; GO:0006006; GO:0006629; GO:0006869; GO:0007420; GO:0007568; GO:0010642; GO:0014012; GO:0015485; GO:0022626; GO:0030425; GO:0042246; GO:0042308; GO:0042493; GO:0043025; GO:0048471; GO:0048662; GO:0048678; GO:0051895; GO:0060588; GO:0071638; GO:1900016; GO:2000098; GO:2000405","cytosolic ribosome [GO:0022626]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; cholesterol binding [GO:0015485]; aging [GO:0007568]; brain development [GO:0007420]; glucose metabolic process [GO:0006006]; lipid metabolic process [GO:0006629]; lipid transport [GO:0006869]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of lipoprotein lipid oxidation [GO:0060588]; negative regulation of monocyte chemotactic protein-1 production [GO:0071638]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of smooth muscle cell-matrix adhesion [GO:2000098]; negative regulation of T cell migration [GO:2000405]; peripheral nervous system axon regeneration [GO:0014012]; response to axon injury [GO:0048678]; response to drug [GO:0042493]; response to reactive oxygen species [GO:0000302]; tissue regeneration [GO:0042246]",9989
"16","PGEN_.00g291230",3,-11.8820367150307,6.57498037540877,NA,NA,NA,NA,NA,967
"17","PGEN_.00g295020",3,-12.8291030403163,5.17885854046399,NA,NA,NA,NA,NA,4588
"18","PGEN_.00g313880",3,4.9686231480778,1.30790850217743,NA,NA,NA,NA,NA,6012
"19","PGEN_.00g333460",3,-9.96295698644774,3.50847574337648,NA,NA,NA,NA,NA,3336
"20","PGEN_.00g340250",3,-9.20703223579492,2.77984724213753,NA,NA,NA,NA,NA,20567
"21","PGEN_.00g348220",3,4.38677682674732,1.79196422549102,"Q9ES87","PRSS8_RAT","Prostasin (EC 3.4.21.-) (Channel-activating protease 1) (CAP1) (Serine protease 8) [Cleaved into: Prostasin light chain; Prostasin heavy chain]","GO:0004252; GO:0005615; GO:0005886; GO:0010765; GO:0016021; GO:0017080; GO:0019897; GO:0042493; GO:0043434; GO:0045121; GO:0046658; GO:0051385; GO:0070633; GO:1902307","anchored component of plasma membrane [GO:0046658]; extracellular space [GO:0005615]; extrinsic component of plasma membrane [GO:0019897]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; serine-type endopeptidase activity [GO:0004252]; sodium channel regulator activity [GO:0017080]; positive regulation of sodium ion transmembrane transport [GO:1902307]; positive regulation of sodium ion transport [GO:0010765]; response to drug [GO:0042493]; response to mineralocorticoid [GO:0051385]; response to peptide hormone [GO:0043434]; transepithelial transport [GO:0070633]",29240
"22","PGEN_.00g348570",3,4.37924889257037,1.73581775162642,"Q9ES87","PRSS8_RAT","Prostasin (EC 3.4.21.-) (Channel-activating protease 1) (CAP1) (Serine protease 8) [Cleaved into: Prostasin light chain; Prostasin heavy chain]","GO:0004252; GO:0005615; GO:0005886; GO:0010765; GO:0016021; GO:0017080; GO:0019897; GO:0042493; GO:0043434; GO:0045121; GO:0046658; GO:0051385; GO:0070633; GO:1902307","anchored component of plasma membrane [GO:0046658]; extracellular space [GO:0005615]; extrinsic component of plasma membrane [GO:0019897]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; serine-type endopeptidase activity [GO:0004252]; sodium channel regulator activity [GO:0017080]; positive regulation of sodium ion transmembrane transport [GO:1902307]; positive regulation of sodium ion transport [GO:0010765]; response to drug [GO:0042493]; response to mineralocorticoid [GO:0051385]; response to peptide hormone [GO:0043434]; transepithelial transport [GO:0070633]",29227
