"","Gene_IDs","slim_term","slim_cat","Gene_count","module_day","Day","moduleColor","Uniprot","Gene_term_EC","gene"
"11","PGEN_.00g003300","biosynthetic process","GO:0009058",11,"Day14_magenta","Day14","magenta","Q13029","PR domain zinc finger protein 2 (EC 2.1.1.355) (GATA-3-binding protein G3B) (Lysine N-methyltransferase 8) (MTB-ZF) (MTE-binding protein) (PR domain-containing protein 2) (Retinoblastoma protein-interacting zinc finger protein) (Zinc finger protein RIZ)","PR domain zinc finger protein 2 "
"12","PGEN_.00g003300","cellular nitrogen compound metaboli...","GO:0034641",79,"Day21_yellow","Day21","yellow","Q13029","PR domain zinc finger protein 2 (EC 2.1.1.355) (GATA-3-binding protein G3B) (Lysine N-methyltransferase 8) (MTB-ZF) (MTE-binding protein) (PR domain-containing protein 2) (Retinoblastoma protein-interacting zinc finger protein) (Zinc finger protein RIZ)","PR domain zinc finger protein 2 "
"13","PGEN_.00g003300","cellular nitrogen compound metaboli...","GO:0034641",20,"Day14_magenta","Day14","magenta","Q13029","PR domain zinc finger protein 2 (EC 2.1.1.355) (GATA-3-binding protein G3B) (Lysine N-methyltransferase 8) (MTB-ZF) (MTE-binding protein) (PR domain-containing protein 2) (Retinoblastoma protein-interacting zinc finger protein) (Zinc finger protein RIZ)","PR domain zinc finger protein 2 "
"14","PGEN_.00g003300","biosynthetic process","GO:0009058",79,"Day21_yellow","Day21","yellow","Q13029","PR domain zinc finger protein 2 (EC 2.1.1.355) (GATA-3-binding protein G3B) (Lysine N-methyltransferase 8) (MTB-ZF) (MTE-binding protein) (PR domain-containing protein 2) (Retinoblastoma protein-interacting zinc finger protein) (Zinc finger protein RIZ)","PR domain zinc finger protein 2 "
"15","PGEN_.00g003430","response to stress","GO:0006950",27,"Day21_yellow","Day21","yellow","Q2V897","Toll-like receptor 2 (CD antigen CD282)","Toll-like receptor 2 "
"16","PGEN_.00g003430","immune system process","GO:0002376",27,"Day21_yellow","Day21","yellow","Q2V897","Toll-like receptor 2 (CD antigen CD282)","Toll-like receptor 2 "
"17","PGEN_.00g003440","cytoskeleton organization","GO:0007010",17,"Day21_yellow","Day21","yellow","Q54RB7","Dual specificity protein kinase shkA (EC 2.7.11.1) (SH2 domain-containing protein 1) (SH2 domain-containing protein A)","Dual specificity protein kinase shkA "
"18","PGEN_.00g003460","biosynthetic process","GO:0009058",109,"Day21_black","Day21","black","Q5UAK0","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)","Mesoderm induction early response protein 1 "
"19","PGEN_.00g003460","cellular nitrogen compound metaboli...","GO:0034641",10,"Day7_green","Day7","green","Q5UAK0","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)","Mesoderm induction early response protein 1 "
"20","PGEN_.00g003460","cellular nitrogen compound metaboli...","GO:0034641",174,"Day21_black","Day21","black","Q5UAK0","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)","Mesoderm induction early response protein 1 "
"21","PGEN_.00g003460","biosynthetic process","GO:0009058",10,"Day7_green","Day7","green","Q5UAK0","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)","Mesoderm induction early response protein 1 "
"22","PGEN_.00g003480","signal transduction","GO:0007165",29,"Day7_yellow","Day7","yellow","Q9HAR2","Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)","Adhesion G protein-coupled receptor L3 "
"23","PGEN_.00g003950","cellular nitrogen compound metaboli...","GO:0034641",174,"Day21_black","Day21","black","P57784","U2 small nuclear ribonucleoprotein A' (U2 snRNP A')","U2 small nuclear ribonucleoprotein A' "
"24","PGEN_.00g003950","reproduction","GO:0000003",15,"Day21_black","Day21","black","P57784","U2 small nuclear ribonucleoprotein A' (U2 snRNP A')","U2 small nuclear ribonucleoprotein A' "
"25","PGEN_.00g003950","mRNA processing","GO:0006397",26,"Day21_black","Day21","black","P57784","U2 small nuclear ribonucleoprotein A' (U2 snRNP A')","U2 small nuclear ribonucleoprotein A' "
"26","PGEN_.00g004690","biosynthetic process","GO:0009058",15,"Day21_red","Day21","red","Q9D7W5","Mediator of RNA polymerase II transcription subunit 8 (Activator-recruited cofactor 32 kDa component) (ARC32) (Mediator complex subunit 8)","Mediator of RNA polymerase II transcription subunit 8 "
"27","PGEN_.00g004690","cellular nitrogen compound metaboli...","GO:0034641",29,"Day21_red","Day21","red","Q9D7W5","Mediator of RNA polymerase II transcription subunit 8 (Activator-recruited cofactor 32 kDa component) (ARC32) (Mediator complex subunit 8)","Mediator of RNA polymerase II transcription subunit 8 "
"28","PGEN_.00g005330","response to stress","GO:0006950",15,"Day21_red","Day21","red","Q6PAF4","Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog) (EC 2.3.2.27)","Non-structural maintenance of chromosomes element 1 homolog "
"29","PGEN_.00g005330","DNA metabolic process","GO:0006259",15,"Day21_red","Day21","red","Q6PAF4","Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog) (EC 2.3.2.27)","Non-structural maintenance of chromosomes element 1 homolog "
"30","PGEN_.00g005330","cellular nitrogen compound metaboli...","GO:0034641",29,"Day21_red","Day21","red","Q6PAF4","Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog) (EC 2.3.2.27)","Non-structural maintenance of chromosomes element 1 homolog "
"31","PGEN_.00g006210","protein transport","GO:0015031",37,"Day21_blue","Day21","blue","Q86Y82","Syntaxin-12","Syntaxin-12"
"32","PGEN_.00g006210","transport","GO:0006810",118,"Day21_blue","Day21","blue","Q86Y82","Syntaxin-12","Syntaxin-12"
"33","PGEN_.00g006280","cellular nitrogen compound metaboli...","GO:0034641",40,"Day21_pink","Day21","pink","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"34","PGEN_.00g006280","biosynthetic process","GO:0009058",40,"Day21_pink","Day21","pink","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"35","PGEN_.00g006290","cellular nitrogen compound metaboli...","GO:0034641",47,"Day7_yellow","Day7","yellow","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"36","PGEN_.00g006290","biosynthetic process","GO:0009058",47,"Day7_yellow","Day7","yellow","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"37","PGEN_.00g006290","cellular nitrogen compound metaboli...","GO:0034641",40,"Day21_pink","Day21","pink","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"38","PGEN_.00g006290","biosynthetic process","GO:0009058",40,"Day21_pink","Day21","pink","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"39","PGEN_.00g006380","catabolic process","GO:0009056",27,"Day21_blue","Day21","blue","Q54TR1","Counting factor associated protein D","Counting factor associated protein D"
"40","PGEN_.00g006380","catabolic process","GO:0009056",20,"Day14_brown","Day14","brown","Q54TR1","Counting factor associated protein D","Counting factor associated protein D"
"41","PGEN_.00g006920","biosynthetic process","GO:0009058",109,"Day21_black","Day21","black","Q9VKM6","Vacuolar protein sorting-associated protein 72 homolog (Protein YL-1)","Vacuolar protein sorting-associated protein 72 homolog "
"42","PGEN_.00g006920","biosynthetic process","GO:0009058",11,"Day14_magenta","Day14","magenta","Q9VKM6","Vacuolar protein sorting-associated protein 72 homolog (Protein YL-1)","Vacuolar protein sorting-associated protein 72 homolog "
"43","PGEN_.00g006920","cellular nitrogen compound metaboli...","GO:0034641",174,"Day21_black","Day21","black","Q9VKM6","Vacuolar protein sorting-associated protein 72 homolog (Protein YL-1)","Vacuolar protein sorting-associated protein 72 homolog "
"44","PGEN_.00g006920","cellular nitrogen compound metaboli...","GO:0034641",20,"Day14_magenta","Day14","magenta","Q9VKM6","Vacuolar protein sorting-associated protein 72 homolog (Protein YL-1)","Vacuolar protein sorting-associated protein 72 homolog "
"45","PGEN_.00g007090","biosynthetic process","GO:0009058",79,"Day21_yellow","Day21","yellow","Q29RL9","Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1)","Transcription elongation factor A protein 1 "
"46","PGEN_.00g007090","cellular nitrogen compound metaboli...","GO:0034641",79,"Day21_yellow","Day21","yellow","Q29RL9","Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1)","Transcription elongation factor A protein 1 "
"47","PGEN_.00g007330","cellular nitrogen compound metaboli...","GO:0034641",79,"Day21_yellow","Day21","yellow","Q08AN1","Zinc finger protein 616","Zinc finger protein 616"
"48","PGEN_.00g007330","biosynthetic process","GO:0009058",79,"Day21_yellow","Day21","yellow","Q08AN1","Zinc finger protein 616","Zinc finger protein 616"
"49","PGEN_.00g008030","transport","GO:0006810",68,"Day14_brown","Day14","brown","Q07598","Non-specific lipid-transfer protein (NSL-TP) (EC 2.3.1.176) (Propanoyl-CoA C-acyltransferase) (SCP-chi) (SCPX) (Sterol carrier protein 2) (SCP-2) (Sterol carrier protein X) (SCP-X) (Fragment)","Non-specific lipid-transfer protein "
"50","PGEN_.00g008030","transport","GO:0006810",118,"Day21_blue","Day21","blue","Q07598","Non-specific lipid-transfer protein (NSL-TP) (EC 2.3.1.176) (Propanoyl-CoA C-acyltransferase) (SCP-chi) (SCPX) (Sterol carrier protein 2) (SCP-2) (Sterol carrier protein X) (SCP-X) (Fragment)","Non-specific lipid-transfer protein "
"51","PGEN_.00g008040","cellular nitrogen compound metaboli...","GO:0034641",174,"Day21_black","Day21","black","Q6KCD5","Nipped-B-like protein (Delangin homolog) (SCC2 homolog)","Nipped-B-like protein "
"52","PGEN_.00g008040","biosynthetic process","GO:0009058",109,"Day21_black","Day21","black","Q6KCD5","Nipped-B-like protein (Delangin homolog) (SCC2 homolog)","Nipped-B-like protein "
"53","PGEN_.00g008040","response to stress","GO:0006950",31,"Day21_black","Day21","black","Q6KCD5","Nipped-B-like protein (Delangin homolog) (SCC2 homolog)","Nipped-B-like protein "
"54","PGEN_.00g008060","cellular protein modification proce...","GO:0006464",30,"Day21_pink","Day21","pink","Q8CFF0","Protein mono-ADP-ribosyltransferase PARP11 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 11) (ARTD11) (Poly [ADP-ribose] polymerase 11) (PARP-11)","Protein mono-ADP-ribosyltransferase PARP11 "
"55","PGEN_.00g008070","transport","GO:0006810",118,"Day21_blue","Day21","blue","Q8CFF0","Protein mono-ADP-ribosyltransferase PARP11 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 11) (ARTD11) (Poly [ADP-ribose] polymerase 11) (PARP-11)","Protein mono-ADP-ribosyltransferase PARP11 "
"56","PGEN_.00g008360","biosynthetic process","GO:0009058",109,"Day21_black","Day21","black","Q9V6L0","Probable lysine-specific demethylase 4B (EC 1.14.11.-) (Probable JmjC domain-containing histone demethylation protein 3B)","Probable lysine-specific demethylase 4B "
"57","PGEN_.00g008360","cellular nitrogen compound metaboli...","GO:0034641",174,"Day21_black","Day21","black","Q9V6L0","Probable lysine-specific demethylase 4B (EC 1.14.11.-) (Probable JmjC domain-containing histone demethylation protein 3B)","Probable lysine-specific demethylase 4B "
"58","PGEN_.00g008360","chromosome organization","GO:0051276",14,"Day21_black","Day21","black","Q9V6L0","Probable lysine-specific demethylase 4B (EC 1.14.11.-) (Probable JmjC domain-containing histone demethylation protein 3B)","Probable lysine-specific demethylase 4B "
"59","PGEN_.00g008380","cytoskeleton organization","GO:0007010",17,"Day21_yellow","Day21","yellow","Q501J7","Phosphatase and actin regulator 4 (Protein Humpty dumpty) (Humdy)","Phosphatase and actin regulator 4 "
"60","PGEN_.00g008390","cytoskeleton organization","GO:0007010",17,"Day21_blue","Day21","blue","O08992","Syntenin-1 (Scaffold protein Pbp1) (Syndecan-binding protein 1)","Syntenin-1 "
"61","PGEN_.00g008390","locomotion","GO:0040011",13,"Day21_blue","Day21","blue","O08992","Syntenin-1 (Scaffold protein Pbp1) (Syndecan-binding protein 1)","Syntenin-1 "
"62","PGEN_.00g008390","cell motility","GO:0048870",13,"Day21_blue","Day21","blue","O08992","Syntenin-1 (Scaffold protein Pbp1) (Syndecan-binding protein 1)","Syntenin-1 "
"63","PGEN_.00g008400","locomotion","GO:0040011",23,"Day21_yellow","Day21","yellow","Q02977","Proto-oncogene tyrosine-protein kinase Yrk (EC 2.7.10.2) (Yes-related kinase) (p60-Yrk)","Proto-oncogene tyrosine-protein kinase Yrk "
"64","PGEN_.00g008400","cell motility","GO:0048870",23,"Day21_yellow","Day21","yellow","Q02977","Proto-oncogene tyrosine-protein kinase Yrk (EC 2.7.10.2) (Yes-related kinase) (p60-Yrk)","Proto-oncogene tyrosine-protein kinase Yrk "
"65","PGEN_.00g008850","locomotion","GO:0040011",13,"Day21_blue","Day21","blue","P27986","Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)","Phosphatidylinositol 3-kinase regulatory subunit alpha "
"66","PGEN_.00g008850","cell motility","GO:0048870",13,"Day21_blue","Day21","blue","P27986","Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)","Phosphatidylinositol 3-kinase regulatory subunit alpha "
"67","PGEN_.00g008850","signal transduction","GO:0007165",11,"Day21_blue","Day21","blue","P27986","Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)","Phosphatidylinositol 3-kinase regulatory subunit alpha "
"68","PGEN_.00g009010","reproduction","GO:0000003",15,"Day21_black","Day21","black","Q99MV1","Tudor domain-containing protein 1","Tudor domain-containing protein 1"
"69","PGEN_.00g009020","biosynthetic process","GO:0009058",109,"Day21_black","Day21","black","Q5RDX4","ATPase family AAA domain-containing protein 2 (EC 3.6.1.3)","ATPase family AAA domain-containing protein 2 "
"70","PGEN_.00g009020","cellular nitrogen compound metaboli...","GO:0034641",174,"Day21_black","Day21","black","Q5RDX4","ATPase family AAA domain-containing protein 2 (EC 3.6.1.3)","ATPase family AAA domain-containing protein 2 "
"71","PGEN_.00g009370","cell motility","GO:0048870",13,"Day21_blue","Day21","blue","O35346","Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)","Focal adhesion kinase 1 "
"72","PGEN_.00g009370","locomotion","GO:0040011",13,"Day21_blue","Day21","blue","O35346","Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)","Focal adhesion kinase 1 "
"73","PGEN_.00g009370","signal transduction","GO:0007165",11,"Day21_blue","Day21","blue","O35346","Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)","Focal adhesion kinase 1 "
"74","PGEN_.00g009410","catabolic process","GO:0009056",20,"Day14_brown","Day14","brown","Q9ESK9","RB1-inducible coiled-coil protein 1 (Coiled-coil-forming protein 1) (FAK family kinase-interacting protein of 200 kDa) (FIP200) (LaXp180)","RB1-inducible coiled-coil protein 1 "
"75","PGEN_.00g009410","cell death","GO:0008219",29,"Day21_pink","Day21","pink","Q9ESK9","RB1-inducible coiled-coil protein 1 (Coiled-coil-forming protein 1) (FAK family kinase-interacting protein of 200 kDa) (FIP200) (LaXp180)","RB1-inducible coiled-coil protein 1 "
"76","PGEN_.00g009870","cellular protein modification proce...","GO:0006464",16,"Day21_yellow","Day21","yellow","O14522","Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho)","Receptor-type tyrosine-protein phosphatase T "
"77","PGEN_.00g009980","biosynthetic process","GO:0009058",40,"Day21_pink","Day21","pink","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"78","PGEN_.00g009980","cellular nitrogen compound metaboli...","GO:0034641",40,"Day21_pink","Day21","pink","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"79","PGEN_.00g010610","cell-cell signaling","GO:0007267",12,"Day21_yellow","Day21","yellow","O75581","Low-density lipoprotein receptor-related protein 6 (LRP-6)","Low-density lipoprotein receptor-related protein 6 "
"80","PGEN_.00g010610","signal transduction","GO:0007165",12,"Day21_yellow","Day21","yellow","O75581","Low-density lipoprotein receptor-related protein 6 (LRP-6)","Low-density lipoprotein receptor-related protein 6 "
"81","PGEN_.00g010610","cellular nitrogen compound metaboli...","GO:0034641",79,"Day21_yellow","Day21","yellow","O75581","Low-density lipoprotein receptor-related protein 6 (LRP-6)","Low-density lipoprotein receptor-related protein 6 "
"82","PGEN_.00g010610","biosynthetic process","GO:0009058",79,"Day21_yellow","Day21","yellow","O75581","Low-density lipoprotein receptor-related protein 6 (LRP-6)","Low-density lipoprotein receptor-related protein 6 "
"83","PGEN_.00g010670","anatomical structure formation invo...","GO:0048646",12,"Day21_pink","Day21","pink","A0A0R4IBK5","E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)","E3 ubiquitin-protein ligase rnf213-alpha "
"84","PGEN_.00g010670","anatomical structure development","GO:0048856",12,"Day21_pink","Day21","pink","A0A0R4IBK5","E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)","E3 ubiquitin-protein ligase rnf213-alpha "
"85","PGEN_.00g010670","catabolic process","GO:0009056",17,"Day21_pink","Day21","pink","A0A0R4IBK5","E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)","E3 ubiquitin-protein ligase rnf213-alpha "
"86","PGEN_.00g010690","cellular protein modification proce...","GO:0006464",30,"Day21_pink","Day21","pink","E9Q555","E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213)","E3 ubiquitin-protein ligase RNF213 "
"87","PGEN_.00g010690","catabolic process","GO:0009056",17,"Day21_pink","Day21","pink","E9Q555","E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213)","E3 ubiquitin-protein ligase RNF213 "
"88","PGEN_.00g010690","anatomical structure development","GO:0048856",12,"Day21_pink","Day21","pink","E9Q555","E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213)","E3 ubiquitin-protein ligase RNF213 "
"89","PGEN_.00g010690","anatomical structure formation invo...","GO:0048646",12,"Day21_pink","Day21","pink","E9Q555","E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213)","E3 ubiquitin-protein ligase RNF213 "
"90","PGEN_.00g011050","biosynthetic process","GO:0009058",47,"Day7_yellow","Day7","yellow","P61244","Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X)","Protein max "
"91","PGEN_.00g011050","cellular nitrogen compound metaboli...","GO:0034641",79,"Day21_yellow","Day21","yellow","P61244","Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X)","Protein max "
"92","PGEN_.00g011050","biosynthetic process","GO:0009058",79,"Day21_yellow","Day21","yellow","P61244","Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X)","Protein max "
"93","PGEN_.00g011050","cellular nitrogen compound metaboli...","GO:0034641",47,"Day7_yellow","Day7","yellow","P61244","Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X)","Protein max "
"94","PGEN_.00g012190","protein transport","GO:0015031",29,"Day14_brown","Day14","brown","P62743","AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma-adaptin 3b) (Sigma2-adaptin)","AP-2 complex subunit sigma "
"95","PGEN_.00g012190","transport","GO:0006810",118,"Day21_blue","Day21","blue","P62743","AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma-adaptin 3b) (Sigma2-adaptin)","AP-2 complex subunit sigma "
"96","PGEN_.00g012190","protein transport","GO:0015031",37,"Day21_blue","Day21","blue","P62743","AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma-adaptin 3b) (Sigma2-adaptin)","AP-2 complex subunit sigma "
