"","Gene_IDs","slim_term","slim_cat","Gene_count","module_day","Day","moduleColor","Uniprot","Gene_term_EC","gene"
"11","PGEN_.00g001620","phosphatase activity","GO:0016791",4,"Day21_red","Day21","red","P27169","Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1)","Serum paraoxonase/arylesterase 1 "
"12","PGEN_.00g001690","enzyme binding","GO:0019899",37,"Day21_yellow","Day21","yellow","Q3U0J8","TBC1 domain family member 2B","TBC1 domain family member 2B"
"13","PGEN_.00g001700","translation factor activity, RNA bi...","GO:0008135",9,"Day21_black","Day21","black","Q90511","Translation initiation factor eIF-2B subunit beta (S20I15) (eIF-2B GDP-GTP exchange factor subunit beta)","Translation initiation factor eIF-2B subunit beta "
"14","PGEN_.00g001700","RNA binding","GO:0003723",53,"Day21_black","Day21","black","Q90511","Translation initiation factor eIF-2B subunit beta (S20I15) (eIF-2B GDP-GTP exchange factor subunit beta)","Translation initiation factor eIF-2B subunit beta "
"15","PGEN_.00g001700","ion binding","GO:0043167",164,"Day21_black","Day21","black","Q90511","Translation initiation factor eIF-2B subunit beta (S20I15) (eIF-2B GDP-GTP exchange factor subunit beta)","Translation initiation factor eIF-2B subunit beta "
"16","PGEN_.00g001730","RNA binding","GO:0003723",53,"Day21_black","Day21","black","Q8NC51","Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)","Plasminogen activator inhibitor 1 RNA-binding protein "
"17","PGEN_.00g001730","mRNA binding","GO:0003729",11,"Day21_black","Day21","black","Q8NC51","Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)","Plasminogen activator inhibitor 1 RNA-binding protein "
"18","PGEN_.00g001920","lipid binding","GO:0008289",9,"Day7_yellow","Day7","yellow","Q5R807","F-BAR domain only protein 2","F-BAR domain only protein 2"
"19","PGEN_.00g001920","ion binding","GO:0043167",123,"Day7_yellow","Day7","yellow","Q5R807","F-BAR domain only protein 2","F-BAR domain only protein 2"
"20","PGEN_.00g002210","ion binding","GO:0043167",128,"Day21_pink","Day21","pink","Q96PY6","Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)","Serine/threonine-protein kinase Nek1 "
"21","PGEN_.00g002230","DNA binding","GO:0003677",9,"Day21_pink","Day21","pink","Q9NZI5","Grainyhead-like protein 1 homolog (Mammalian grainyhead) (NH32) (Transcription factor CP2-like 2) (Transcription factor LBP-32)","Grainyhead-like protein 1 homolog "
"22","PGEN_.00g002230","DNA-binding transcription factor ac...","GO:0003700",15,"Day21_pink","Day21","pink","Q9NZI5","Grainyhead-like protein 1 homolog (Mammalian grainyhead) (NH32) (Transcription factor CP2-like 2) (Transcription factor LBP-32)","Grainyhead-like protein 1 homolog "
"23","PGEN_.00g002290","oxidoreductase activity","GO:0016491",45,"Day14_brown","Day14","brown","Q71R50","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Estradiol 17-beta-dehydrogenase) (EC 1.1.1.62) (Short-chain dehydrogenase/reductase family 24C member 1)","Dehydrogenase/reductase SDR family member 11 "
"24","PGEN_.00g002440","oxidoreductase activity","GO:0016491",23,"Day7_brown","Day7","brown","P48416","Cytochrome P450 10 (EC 1.14.-.-) (CYPX)","Cytochrome P450 10 "
"25","PGEN_.00g002680","ion binding","GO:0043167",273,"Day21_blue","Day21","blue","P08289","Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)","Alkaline phosphatase, tissue-nonspecific isozyme "
"26","PGEN_.00g002760","RNA binding","GO:0003723",2,"Day21_blue","Day21","blue","Q96GM8","Target of EGR1 protein 1","Target of EGR1 protein 1"
"27","PGEN_.00g002760","ion binding","GO:0043167",273,"Day21_blue","Day21","blue","Q96GM8","Target of EGR1 protein 1","Target of EGR1 protein 1"
"28","PGEN_.00g003030","ion binding","GO:0043167",66,"Day7_brown","Day7","brown","Q86YT6","E3 ubiquitin-protein ligase MIB1 (EC 2.3.2.27) (DAPK-interacting protein 1) (DIP-1) (Mind bomb homolog 1) (RING-type E3 ubiquitin transferase MIB1) (Zinc finger ZZ type with ankyrin repeat domain protein 2)","E3 ubiquitin-protein ligase MIB1 "
"29","PGEN_.00g003090","ion binding","GO:0043167",273,"Day21_blue","Day21","blue","Q924U5","Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1) (Testicular protein kinase 2)","Dual specificity testis-specific protein kinase 2 "
"30","PGEN_.00g003130","ion binding","GO:0043167",97,"Day21_yellow","Day21","yellow","Q5U2T6","Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)","Zinc finger protein PLAG1 "
"31","PGEN_.00g003240","peptidase activity","GO:0008233",53,"Day21_blue","Day21","blue","Q2KHU4","ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Endopeptidase Clp)","ATP-dependent Clp protease proteolytic subunit, mitochondrial "
"32","PGEN_.00g003300","methyltransferase activity","GO:0008168",2,"Day14_magenta","Day14","magenta","Q13029","PR domain zinc finger protein 2 (EC 2.1.1.355) (GATA-3-binding protein G3B) (Lysine N-methyltransferase 8) (MTB-ZF) (MTE-binding protein) (PR domain-containing protein 2) (Retinoblastoma protein-interacting zinc finger protein) (Zinc finger protein RIZ)","PR domain zinc finger protein 2 "
"33","PGEN_.00g003300","ion binding","GO:0043167",39,"Day14_magenta","Day14","magenta","Q13029","PR domain zinc finger protein 2 (EC 2.1.1.355) (GATA-3-binding protein G3B) (Lysine N-methyltransferase 8) (MTB-ZF) (MTE-binding protein) (PR domain-containing protein 2) (Retinoblastoma protein-interacting zinc finger protein) (Zinc finger protein RIZ)","PR domain zinc finger protein 2 "
"34","PGEN_.00g003300","DNA binding","GO:0003677",18,"Day21_yellow","Day21","yellow","Q13029","PR domain zinc finger protein 2 (EC 2.1.1.355) (GATA-3-binding protein G3B) (Lysine N-methyltransferase 8) (MTB-ZF) (MTE-binding protein) (PR domain-containing protein 2) (Retinoblastoma protein-interacting zinc finger protein) (Zinc finger protein RIZ)","PR domain zinc finger protein 2 "
"35","PGEN_.00g003460","enzyme binding","GO:0019899",31,"Day21_black","Day21","black","Q5UAK0","Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1)","Mesoderm induction early response protein 1 "
"36","PGEN_.00g003940","ion binding","GO:0043167",66,"Day7_brown","Day7","brown","Q2PFX5","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)","Regucalcin "
"37","PGEN_.00g003940","ion binding","GO:0043167",273,"Day21_blue","Day21","blue","Q2PFX5","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)","Regucalcin "
"38","PGEN_.00g003960","ion binding","GO:0043167",164,"Day21_black","Day21","black","Q0E908","Hillarin (D-Hillarin) (D-hil)","Hillarin "
"39","PGEN_.00g004120","ion binding","GO:0043167",39,"Day14_magenta","Day14","magenta","Q6E2N3","E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (Protein moonshine) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)","E3 ubiquitin-protein ligase TRIM33 "
"40","PGEN_.00g004170","cytoskeletal protein binding","GO:0008092",9,"Day21_magenta","Day21","magenta","P13668","Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Pr22 protein) (Prosolin) (pp17)","Stathmin "
"41","PGEN_.00g004180","ion binding","GO:0043167",154,"Day21_red","Day21","red","Q6P4Y0","Threonylcarbamoyladenosine tRNA methylthiotransferase (EC 2.8.4.5) (CDK5 regulatory subunit-associated protein 1-like 1) (tRNA-t(6)A37 methylthiotransferase)","Threonylcarbamoyladenosine tRNA methylthiotransferase "
"42","PGEN_.00g004280","kinase activity","GO:0016301",7,"Day21_yellow","Day21","yellow","P17713","Tyrosine-protein kinase STK (EC 2.7.10.2) (P57-STK)","Tyrosine-protein kinase STK "
"43","PGEN_.00g004840","ion binding","GO:0043167",273,"Day21_blue","Day21","blue","P54646","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)","5'-AMP-activated protein kinase catalytic subunit alpha-2 "
"44","PGEN_.00g004870","ion binding","GO:0043167",273,"Day21_blue","Day21","blue","O60290","Zinc finger protein 862","Zinc finger protein 862"
"45","PGEN_.00g004940","ion binding","GO:0043167",154,"Day21_red","Day21","red","E9QBI7","Metalloendopeptidase OMA1, mitochondrial (EC 3.4.24.-) (Overlapping with the m-AAA protease 1 homolog)","Metalloendopeptidase OMA1, mitochondrial "
"46","PGEN_.00g005230","oxidoreductase activity","GO:0016491",8,"Day7_green","Day7","green","P29451","Thioredoxin (Trx)","Thioredoxin "
"47","PGEN_.00g005330","ion binding","GO:0043167",154,"Day21_red","Day21","red","Q6PAF4","Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog) (EC 2.3.2.27)","Non-structural maintenance of chromosomes element 1 homolog "
"48","PGEN_.00g005530","ion binding","GO:0043167",66,"Day7_brown","Day7","brown","Q61361","Brevican core protein","Brevican core protein"
"49","PGEN_.00g005530","ion binding","GO:0043167",33,"Day14_brown","Day14","brown","Q61361","Brevican core protein","Brevican core protein"
"50","PGEN_.00g005660","cytoskeletal protein binding","GO:0008092",16,"Day14_brown","Day14","brown","Q91ZU6","Dystonin (Bullous pemphigoid antigen 1) (BPA) (Dystonia musculorum protein) (Hemidesmosomal plaque protein) (Microtubule actin cross-linking factor 2)","Dystonin "
"51","PGEN_.00g005660","cytoskeletal protein binding","GO:0008092",31,"Day21_blue","Day21","blue","Q91ZU6","Dystonin (Bullous pemphigoid antigen 1) (BPA) (Dystonia musculorum protein) (Hemidesmosomal plaque protein) (Microtubule actin cross-linking factor 2)","Dystonin "
"52","PGEN_.00g005680","methyltransferase activity","GO:0008168",2,"Day21_blue","Day21","blue","P9WN47","Histidine N-alpha-methyltransferase (EC 2.1.1.44) (Histidine trimethyltransferase)","Histidine N-alpha-methyltransferase "
"53","PGEN_.00g006160","kinase activity","GO:0016301",15,"Day14_brown","Day14","brown","Q96Q15","Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (61E3.4) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein)","Serine/threonine-protein kinase SMG1 "
"54","PGEN_.00g006210","protein-macromolecule adaptor activ...","GO:0030674",7,"Day21_blue","Day21","blue","Q86Y82","Syntaxin-12","Syntaxin-12"
"55","PGEN_.00g006280","ion binding","GO:0043167",128,"Day21_pink","Day21","pink","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"56","PGEN_.00g006280","ATPase activity","GO:0016887",7,"Day21_pink","Day21","pink","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"57","PGEN_.00g006280","nuclease activity","GO:0004518",3,"Day21_pink","Day21","pink","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"58","PGEN_.00g006290","ion binding","GO:0043167",128,"Day21_pink","Day21","pink","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"59","PGEN_.00g006290","ATPase activity","GO:0016887",7,"Day21_pink","Day21","pink","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"60","PGEN_.00g006290","nuclease activity","GO:0004518",3,"Day21_pink","Day21","pink","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"61","PGEN_.00g006290","ion binding","GO:0043167",123,"Day7_yellow","Day7","yellow","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
"62","PGEN_.00g006380","peptidase activity","GO:0008233",26,"Day7_brown","Day7","brown","Q54TR1","Counting factor associated protein D","Counting factor associated protein D"
"63","PGEN_.00g006380","peptidase activity","GO:0008233",29,"Day14_brown","Day14","brown","Q54TR1","Counting factor associated protein D","Counting factor associated protein D"
"64","PGEN_.00g006380","peptidase activity","GO:0008233",53,"Day21_blue","Day21","blue","Q54TR1","Counting factor associated protein D","Counting factor associated protein D"
"65","PGEN_.00g006490","oxidoreductase activity","GO:0016491",23,"Day7_brown","Day7","brown","Q9HAY6","Beta,beta-carotene 15,15'-dioxygenase (EC 1.13.11.63) (Beta-carotene dioxygenase 1) (Beta-carotene oxygenase 1)","Beta,beta-carotene 15,15'-dioxygenase "
"66","PGEN_.00g006490","ion binding","GO:0043167",273,"Day21_blue","Day21","blue","Q9HAY6","Beta,beta-carotene 15,15'-dioxygenase (EC 1.13.11.63) (Beta-carotene dioxygenase 1) (Beta-carotene oxygenase 1)","Beta,beta-carotene 15,15'-dioxygenase "
"67","PGEN_.00g006490","oxidoreductase activity","GO:0016491",45,"Day14_brown","Day14","brown","Q9HAY6","Beta,beta-carotene 15,15'-dioxygenase (EC 1.13.11.63) (Beta-carotene dioxygenase 1) (Beta-carotene oxygenase 1)","Beta,beta-carotene 15,15'-dioxygenase "
"68","PGEN_.00g007100","RNA binding","GO:0003723",53,"Day21_black","Day21","black","Q7SYV0","Phenylalanine--tRNA ligase alpha subunit B (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit B) (PheRS)","Phenylalanine--tRNA ligase alpha subunit B "
"69","PGEN_.00g007100","ion binding","GO:0043167",164,"Day21_black","Day21","black","Q7SYV0","Phenylalanine--tRNA ligase alpha subunit B (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit B) (PheRS)","Phenylalanine--tRNA ligase alpha subunit B "
"70","PGEN_.00g007310","oxidoreductase activity","GO:0016491",12,"Day14_black","Day14","black","Q8MSU3","Putative ferric-chelate reductase 1 homolog (DmSDR2) (EC 1.-.-.-)","Putative ferric-chelate reductase 1 homolog "
"71","PGEN_.00g007330","ion binding","GO:0043167",97,"Day21_yellow","Day21","yellow","Q08AN1","Zinc finger protein 616","Zinc finger protein 616"
"72","PGEN_.00g007330","ion binding","GO:0043167",123,"Day7_yellow","Day7","yellow","Q08AN1","Zinc finger protein 616","Zinc finger protein 616"
"73","PGEN_.00g007520","ion binding","GO:0043167",154,"Day21_red","Day21","red","Q9NYY3","Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)","Serine/threonine-protein kinase PLK2 "
"74","PGEN_.00g007520","kinase activity","GO:0016301",25,"Day21_red","Day21","red","Q9NYY3","Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)","Serine/threonine-protein kinase PLK2 "
"75","PGEN_.00g007860","ion binding","GO:0043167",123,"Day7_yellow","Day7","yellow","P53478","Actin, cytoplasmic type 5","Actin, cytoplasmic type 5"
"76","PGEN_.00g007870","ion binding","GO:0043167",123,"Day7_yellow","Day7","yellow","P41340","Actin-3","Actin-3"
"77","PGEN_.00g008010","nuclease activity","GO:0004518",4,"Day21_magenta","Day21","magenta","Q503V9","Poly(U)-specific endoribonuclease-B (EC 3.1.-.-) (Protein endoU-B) (Uridylate-specific endoribonuclease-B)","Poly"
"78","PGEN_.00g008040","enzyme binding","GO:0019899",31,"Day21_black","Day21","black","Q6KCD5","Nipped-B-like protein (Delangin homolog) (SCC2 homolog)","Nipped-B-like protein "
"79","PGEN_.00g008060","transferase activity, transferring ...","GO:0016757",14,"Day21_pink","Day21","pink","Q8CFF0","Protein mono-ADP-ribosyltransferase PARP11 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 11) (ARTD11) (Poly [ADP-ribose] polymerase 11) (PARP-11)","Protein mono-ADP-ribosyltransferase PARP11 "
"80","PGEN_.00g008320","ion binding","GO:0043167",154,"Day21_red","Day21","red","F6PTN1","Metalloprotease TIKI1 (EC 3.4.-.-) (TRAB domain-containing protein 2A)","Metalloprotease TIKI1 "
"81","PGEN_.00g008360","ion binding","GO:0043167",164,"Day21_black","Day21","black","Q9V6L0","Probable lysine-specific demethylase 4B (EC 1.14.11.-) (Probable JmjC domain-containing histone demethylation protein 3B)","Probable lysine-specific demethylase 4B "
"82","PGEN_.00g008370","enzyme regulator activity","GO:0030234",22,"Day21_yellow","Day21","yellow","O75167","Phosphatase and actin regulator 2","Phosphatase and actin regulator 2"
"83","PGEN_.00g008370","cytoskeletal protein binding","GO:0008092",32,"Day21_yellow","Day21","yellow","O75167","Phosphatase and actin regulator 2","Phosphatase and actin regulator 2"
"84","PGEN_.00g008380","enzyme regulator activity","GO:0030234",22,"Day21_yellow","Day21","yellow","Q501J7","Phosphatase and actin regulator 4 (Protein Humpty dumpty) (Humdy)","Phosphatase and actin regulator 4 "
"85","PGEN_.00g008380","enzyme binding","GO:0019899",37,"Day21_yellow","Day21","yellow","Q501J7","Phosphatase and actin regulator 4 (Protein Humpty dumpty) (Humdy)","Phosphatase and actin regulator 4 "
"86","PGEN_.00g008380","cytoskeletal protein binding","GO:0008092",32,"Day21_yellow","Day21","yellow","Q501J7","Phosphatase and actin regulator 4 (Protein Humpty dumpty) (Humdy)","Phosphatase and actin regulator 4 "
"87","PGEN_.00g008400","enzyme binding","GO:0019899",30,"Day7_yellow","Day7","yellow","Q02977","Proto-oncogene tyrosine-protein kinase Yrk (EC 2.7.10.2) (Yes-related kinase) (p60-Yrk)","Proto-oncogene tyrosine-protein kinase Yrk "
"88","PGEN_.00g008400","kinase activity","GO:0016301",7,"Day21_yellow","Day21","yellow","Q02977","Proto-oncogene tyrosine-protein kinase Yrk (EC 2.7.10.2) (Yes-related kinase) (p60-Yrk)","Proto-oncogene tyrosine-protein kinase Yrk "
"89","PGEN_.00g008400","ion binding","GO:0043167",123,"Day7_yellow","Day7","yellow","Q02977","Proto-oncogene tyrosine-protein kinase Yrk (EC 2.7.10.2) (Yes-related kinase) (p60-Yrk)","Proto-oncogene tyrosine-protein kinase Yrk "
"90","PGEN_.00g008640","ion binding","GO:0043167",18,"Day14_black","Day14","black","Q9D0F9","Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1) (Phosphoglucomutase-2)","Phosphoglucomutase-1 "
"91","PGEN_.00g009010","ion binding","GO:0043167",164,"Day21_black","Day21","black","Q99MV1","Tudor domain-containing protein 1","Tudor domain-containing protein 1"
"92","PGEN_.00g009020","ion binding","GO:0043167",164,"Day21_black","Day21","black","Q5RDX4","ATPase family AAA domain-containing protein 2 (EC 3.6.1.3)","ATPase family AAA domain-containing protein 2 "
"93","PGEN_.00g009370","enzyme binding","GO:0019899",35,"Day14_brown","Day14","brown","O35346","Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)","Focal adhesion kinase 1 "
"94","PGEN_.00g009370","cytoskeletal protein binding","GO:0008092",31,"Day21_blue","Day21","blue","O35346","Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)","Focal adhesion kinase 1 "
"95","PGEN_.00g009370","cytoskeletal protein binding","GO:0008092",16,"Day14_brown","Day14","brown","O35346","Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)","Focal adhesion kinase 1 "
"96","PGEN_.00g009410","enzyme binding","GO:0019899",35,"Day14_brown","Day14","brown","Q9ESK9","RB1-inducible coiled-coil protein 1 (Coiled-coil-forming protein 1) (FAK family kinase-interacting protein of 200 kDa) (FIP200) (LaXp180)","RB1-inducible coiled-coil protein 1 "
"97","PGEN_.00g009440","lipid binding","GO:0008289",4,"Day14_pink","Day14","pink","Q4R5L5","Annexin A7 (Annexin VII) (Annexin-7)","Annexin A7 "
"98","PGEN_.00g009440","ion binding","GO:0043167",4,"Day14_pink","Day14","pink","Q4R5L5","Annexin A7 (Annexin VII) (Annexin-7)","Annexin A7 "
"99","PGEN_.00g009780","structural molecule activity","GO:0005198",5,"Day21_red","Day21","red","P49790","Nuclear pore complex protein Nup153 (153 kDa nucleoporin) (Nucleoporin Nup153)","Nuclear pore complex protein Nup153 "
"100","PGEN_.00g009780","ion binding","GO:0043167",154,"Day21_red","Day21","red","P49790","Nuclear pore complex protein Nup153 (153 kDa nucleoporin) (Nucleoporin Nup153)","Nuclear pore complex protein Nup153 "
"101","PGEN_.00g009930","peptidase activity","GO:0008233",53,"Day21_blue","Day21","blue","Q5G266","Neurotrypsin (EC 3.4.21.-) (Serine protease 12)","Neurotrypsin "
"102","PGEN_.00g009930","peptidase activity","GO:0008233",26,"Day7_brown","Day7","brown","Q5G266","Neurotrypsin (EC 3.4.21.-) (Serine protease 12)","Neurotrypsin "
"103","PGEN_.00g009930","peptidase activity","GO:0008233",29,"Day14_brown","Day14","brown","Q5G266","Neurotrypsin (EC 3.4.21.-) (Serine protease 12)","Neurotrypsin "
"104","PGEN_.00g009970","ion binding","GO:0043167",273,"Day21_blue","Day21","blue","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","Helicase with zinc finger domain 2 "
