"","geneSymbol","Genes","shared"
"19","PGEN_.00g112690","N-chimaerin (A-chimaerin) (Alpha-chimerin) (N-chimerin) (NC) (Rho GTPase-activating protein 2)","True"
"20","PGEN_.00g116670","Sortilin-related receptor (Gp250) (Low-density lipoprotein receptor relative with 11 ligand-binding repeats) (LDLR relative with 11 ligand-binding repeats) (LR11) (SorLA-1) (Sorting protein-related receptor containing LDLR class A repeats) (mSorLA)","True"
"21","PGEN_.00g116950","Methyl-CpG-binding domain protein 6 (Methyl-CpG-binding protein MBD6)","True"
"22","PGEN_.00g139380","Protein phosphatase Slingshot homolog 2 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 2) (SSH-2L) (hSSH-2L)","True"
"23","PGEN_.00g140790","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)","True"
"24","PGEN_.00g141330","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)","True"
"25","PGEN_.00g160220",NA,"True"
"26","PGEN_.00g163020","LIX1-like protein","True"
"27","PGEN_.00g183420","Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (N-acetyl-beta-glucosaminidase subunit beta)","True"
"28","PGEN_.00g186060","PH domain leucine-rich repeat protein phosphatase 1 (EC 3.1.3.16) (Pleckstrin homology domain-containing family E member 1) (PH domain-containing family E member 1) (Suprachiasmatic nucleus circadian oscillatory protein)","True"
"29","PGEN_.00g192440","Excitatory amino acid transporter 2 (GLT-1) (Sodium-dependent glutamate/aspartate transporter 2) (GLUT-R) (Solute carrier family 1 member 2)","True"
"30","PGEN_.00g215190","Interleukin-17 receptor D (IL-17 receptor D) (IL-17RD) (Interleukin-17 receptor-like protein) (Sef homolog) (mSef)","True"
"31","PGEN_.00g232090","Guanine nucleotide exchange factor DBS (DBL's big sister) (MCF2-transforming sequence-like protein) (OST oncogene)","True"
"32","PGEN_.00g233710","Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 35 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)]","True"
"33","PGEN_.00g239770","Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)","True"
"34","PGEN_.00g244000","Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)","True"
"35","PGEN_.00g267430","5-hydroxytryptamine receptor (5-HT receptor) (Serotonin receptor)","True"
"36","PGEN_.00g271290",NA,"True"
"37","PGEN_.00g275400",NA,"True"
"38","PGEN_.00g290460",NA,"True"
"39","PGEN_.00g314840","von Willebrand factor D and EGF domain-containing protein","True"
"40","PGEN_.00g315040","von Willebrand factor D and EGF domain-containing protein","True"
"41","PGEN_.00g317790",NA,"True"
"42","PGEN_.00g326580","Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)]","True"
"43","PGEN_.00g335860","Metabotropic glutamate receptor 2 (mGluR2)","True"
