"","Gene_IDs","Day","Uniprot","gene","count"
"99","PGEN_.00g234530","Day14","P49109","Dimethylaniline monooxygenase [N-oxide-forming] 5 ",1
"100","PGEN_.00g235390","Day21","Q16S14","Elongation factor G, mitochondrial ",1
"101","PGEN_.00g242070","Day7","Q9UPN9","E3 ubiquitin-protein ligase TRIM33 ",1
"102","PGEN_.00g245730","Day7","Q05481","Zinc finger protein 91 ",1
"103","PGEN_.00g251580","Day7","O42392","Vitamin D3 receptor ",1
"104","PGEN_.00g253230","Day7","Q5SVQ0","Histone acetyltransferase KAT7 ",1
"105","PGEN_.00g258130","Day14","P18172","Glucose dehydrogenase [FAD, quinone] ",1
"106","PGEN_.00g258190","Day21","Q8TF76","Serine/threonine-protein kinase haspin ",1
"107","PGEN_.00g263590","Day7","Q4U2R1","E3 ubiquitin-protein ligase HERC2 ",1
"108","PGEN_.00g268580","Day14","Q9PRL8","Acyl-CoA-binding protein ",1
"109","PGEN_.00g270460","Day21","Q04451","Glycine--tRNA ligase ",1
"110","PGEN_.00g271390","Day21","A2A4P0","ATP-dependent RNA helicase DHX8 ",1
"111","PGEN_.00g272230","Day7","Q9W719","Hypoxanthine-guanine phosphoribosyltransferase ",1
"112","PGEN_.00g272730","Day14","Q6PHS6","Sorting nexin-13",1
"113","PGEN_.00g274340","Day7","Q9ESL4","Mitogen-activated protein kinase kinase kinase 20 ",1
"114","PGEN_.00g274350","Day21","P84080","ADP-ribosylation factor 1",1
"115","PGEN_.00g276360","Day7","A1A547","Peptidoglycan recognition protein 3 ",1
"116","PGEN_.00g285980","Day14","P97872","Dimethylaniline monooxygenase [N-oxide-forming] 5 ",1
"117","PGEN_.00g286040","Day14","P08503","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial ",1
"118","PGEN_.00g298600","Day7","Q9ULU4","Protein kinase C-binding protein 1 ",1
"119","PGEN_.00g299330","Day21","P25205","DNA replication licensing factor MCM3 ",1
"120","PGEN_.00g300660","Day7","P81282","Versican core protein ",1
"121","PGEN_.00g305230","Day7","Q5RID7","Sorting nexin-17",1
"122","PGEN_.00g306480","Day21","Q8NI77","Kinesin-like protein KIF18A ",1
"123","PGEN_.00g308130","Day7","P43691","Transcription factor GATA-4 ",1
"124","PGEN_.00g321630","Day21","Q29RT6","Kinesin-like protein KIF20A",1
"125","PGEN_.00g323140","Day21","Q4R4R0","26S proteasome regulatory subunit 7 ",1
"126","PGEN_.00g331660","Day7","Q9P2E3","NFX1-type zinc finger-containing protein 1",1
"127","PGEN_.00g333110","Day14","Q8K370","Acyl-CoA dehydrogenase family member 10 ",1
"128","PGEN_.00g338640","Day21","P18708","Vesicle-fusing ATPase ",1
"129","PGEN_.00g339830","Day21","O15975","Guanine nucleotide-binding protein G",1
"130","PGEN_.00g339990","Day14","P35280","Ras-related protein Rab-8A",1
"131","PGEN_.00g340820","Day14","P22129","Ras-related protein Rab-11B ",1
"132","PGEN_.00g340990","Day14","P22129","Ras-related protein Rab-11B ",1
"133","PGEN_.00g342850","Day21","Q9Y4I1","Unconventional myosin-Va ",1
"134","PGEN_.00g342950","Day21","Q9ULV0","Unconventional myosin-Vb",1
"135","PGEN_.00g343270","Day14","P54939","Talin-1",1
