"","Gene","log2FoldChange","padj","Day_treatment","Treatment","Pairwise","Uniprot","Gene_terms_EC"
"54","PGEN_.00g117980",9.10700518668287,0.0191555980166102,"Day21","Primary","AvM","P81439","Equistatin"
"55","PGEN_.00g122510",7.06288881068178,0.0163780583544928,"Day21","Primary","AvM",NA,NA
"56","PGEN_.00g127580",11.509219771101,0.000400580942965157,"Day21","Primary","AvM",NA,NA
"57","PGEN_.00g127990",5.91801366859383,0.00771750027976771,"Day21","Primary","AvM","Q60847","Collagen alpha-1(XII) chain"
"58","PGEN_.00g130020",6.65312468962895,0.00517386502296705,"Day21","Primary","AvM","Q9UAS2","Fatty acid-binding protein 1"
"59","PGEN_.00g130320",-11.9164377691203,0.0295023423549472,"Day21","Primary","AvM",NA,NA
"60","PGEN_.00g130390",-15.5228920033316,0.00021391675161628,"Day21","Primary","AvM",NA,NA
"61","PGEN_.00g130720",6.27047307155941,0.00517386502296705,"Day21","Primary","AvM",NA,NA
"62","PGEN_.00g131380",6.92733221131384,0.0163780583544928,"Day21","Primary","AvM","P86854","Perlucin-like protein"
"63","PGEN_.00g131800",6.48193428211701,0.00517386502296705,"Day21","Primary","AvM",NA,NA
"64","PGEN_.00g133710",6.46137467960898,0.0318623988025163,"Day21","Primary","AvM",NA,NA
"65","PGEN_.00g133820",5.47015298685834,0.00681339508910188,"Day21","Primary","AvM",NA,NA
"66","PGEN_.00g139900",-8.03668155907105,0.0446323820660572,"Day21","Primary","AvM",NA,NA
"67","PGEN_.00g141870",3.22373203821801,0.00525675797044021,"Day21","Primary","AvM","Q2KIY1","Peroxisomal membrane protein 2"
"68","PGEN_.00g142010",12.3693725733337,0.000113042479670403,"Day21","Primary","AvM",NA,NA
"69","PGEN_.00g145340",2.67864723324959,0.0185104227221143,"Day21","Primary","AvM","Q99MS0","SEC14-like protein 2 (Alpha-tocopherol-associated protein) (TAP) (Squalene transfer protein) (Supernatant protein factor) (SPF)"
"70","PGEN_.00g145490",9.12921169928222,0.00119842784202734,"Day21","Primary","AvM","A7MCS3","UPF0764 protein C16orf89 homolog"
"71","PGEN_.00g145530",5.36569709018005,0.030941027707916,"Day21","Primary","AvM",NA,NA
"72","PGEN_.00g146370",5.44985544542486,0.0377635371890765,"Day21","Primary","AvM","P77735","1-deoxyxylulose-5-phosphate synthase YajO (EC 1.1.-.-)"
"73","PGEN_.00g149930",-2.33906594509472,0.0253786510461043,"Day21","Primary","AvM","Q91ZM2","SH2B adapter protein 1 (Pro-rich, PH and SH2 domain-containing signaling mediator) (PSM) (SH2 domain-containing protein 1B) (SH2-B PH domain-containing signaling mediator 1)"
"74","PGEN_.00g149990",-17.5383911650236,0.000793474324272565,"Day21","Primary","AvM",NA,NA
"75","PGEN_.00g152150",7.46773705735312,0.00252441403903286,"Day21","Primary","AvM","Q86Z23","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11)"
"76","PGEN_.00g156260",5.81241094055505,0.0163780583544928,"Day21","Primary","AvM","Q8BGC4","Prostaglandin reductase-3 (PTGR-3) (EC 1.3.1.48) (15-oxoprostaglandin 13-reductase) (Zinc-binding alcohol dehydrogenase domain-containing protein 2)"
"77","PGEN_.00g156840",8.58234555414148,0.000724686019916892,"Day21","Primary","AvM",NA,NA
"78","PGEN_.00g158570",7.00886734249113,0.00330217748514456,"Day21","Primary","AvM",NA,NA
"79","PGEN_.00g159750",7.9621468776049,0.00110265503807204,"Day21","Primary","AvM","P83553","Dermatopontin (Tyrosine-rich acidic matrix protein) (TRAMP)"
"80","PGEN_.00g161570",-1.51862679687818,0.0206341490121708,"Day21","Primary","AvM","Q593B6","Coagulation factor V [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]"
"81","PGEN_.00g161800",-7.31986700057195,0.0446323820660572,"Day21","Primary","AvM",NA,NA
"82","PGEN_.00g162900",-16.0450937180171,1.21278465968559e-05,"Day21","Primary","AvM",NA,NA
"83","PGEN_.00g168580",7.18535631179856,0.00166794745282276,"Day21","Primary","AvM",NA,NA
"84","PGEN_.00g168590",-12.2384321739232,1.70106687366428e-05,"Day21","Primary","AvM","Q19673","Putative tyrosinase-like protein tyr-3"
"85","PGEN_.00g169010",-12.0276397865537,1.62469946955666e-05,"Day21","Primary","AvM","Q19673","Putative tyrosinase-like protein tyr-3"
"86","PGEN_.00g169020",5.58400121795839,0.036522560580458,"Day21","Primary","AvM",NA,NA
"87","PGEN_.00g169480",5.79760937994607,0.0393735171571936,"Day21","Primary","AvM","Q13231","Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)"
"88","PGEN_.00g173270",7.87300401677015,0.00378148735391629,"Day21","Primary","AvM",NA,NA
"89","PGEN_.00g175550",-2.94680464702312,0.035255724157678,"Day21","Primary","AvM","Q2TAD9","Cysteine and histidine-rich protein 1-B"
"90","PGEN_.00g176530",-15.8747706944903,3.89029363580997e-05,"Day21","Primary","AvM",NA,NA
"91","PGEN_.00g176540",-13.5362018654222,0.000590288876733016,"Day21","Primary","AvM",NA,NA
"92","PGEN_.00g178010",-2.44928059452066,0.035710451549449,"Day21","Primary","AvM",NA,NA
"93","PGEN_.00g178500",7.44146942005425,0.0063339221732294,"Day21","Primary","AvM",NA,NA
"94","PGEN_.00g188250",5.6658285028107,0.00525675797044021,"Day21","Primary","AvM","P15941","Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)]"
"95","PGEN_.00g188450",-5.53866324288687,0.0365539897894457,"Day21","Primary","AvM",NA,NA
"96","PGEN_.00g188760",8.30848867620134,0.00517386502296705,"Day21","Primary","AvM","A8TX70","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)"
"97","PGEN_.00g196600",10.2490780045138,0.0341507431015122,"Day21","Primary","AvM","Q6ID18","Laccase-10 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 10) (Diphenol oxidase 10) (Urishiol oxidase 10)"
"98","PGEN_.00g199810",6.06128332767113,0.0253786510461043,"Day21","Primary","AvM","P28840","Neuroendocrine convertase 1 (NEC 1) (EC 3.4.21.93) (Prohormone convertase 1) (Proprotein convertase 1) (PC1)"
"99","PGEN_.00g201060",4.7959711289055,0.036522560580458,"Day21","Primary","AvM",NA,NA
"100","PGEN_.00g204650",-9.61865406892454,0.0227150373403897,"Day21","Second","AvS",NA,NA
"101","PGEN_.00g205860",5.60987911126253,0.030941027707916,"Day21","Primary","AvM","Q60997","Deleted in malignant brain tumors 1 protein (Apactin) (CRP-ductin) (Glycoprotein 300) (gp300) (Hensin) (Mucin-like glycoprotein) (Muclin) (Vomeroglandin) (p80)"
"102","PGEN_.00g211250",5.25048169403187,0.0295023423549472,"Day21","Primary","AvM","Q9BXJ4","Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26)"
"103","PGEN_.00g212310",-3.62262409843077,0.0183754293192608,"Day21","Primary","AvM","Q4V8A0","E3 SUMO-protein ligase NSE2 (EC 2.3.2.-) (E3 SUMO-protein transferase NSE2) (MMS21 homolog) (Non-structural maintenance of chromosomes element 2 homolog) (Non-SMC element 2 homolog)"
"104","PGEN_.00g212830",-6.2019425912744,0.00681339508910188,"Day21","Primary","AvM","A3KG59","Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)"
"105","PGEN_.00g230540",-11.4382190090981,3.18379071691409e-05,"Day21","Primary","AvM","Q9GKX2","Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase/NADP-retinol dehydrogenase) (CR) (PHCR) (NADPH-dependent retinol dehydrogenase/reductase) (NDRD) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD) (rabNRDR) (Fragment)"
"106","PGEN_.00g230850",4.15964409859164,0.0440130726140429,"Day21","Primary","AvM",NA,NA
"107","PGEN_.00g236660",10.341433218832,0.00840624299430232,"Day21","Primary","AvM",NA,NA
"108","PGEN_.00g245440",-12.150952383864,0.0385776541881131,"Day21","Primary","AvM",NA,NA
"109","PGEN_.00g245510",15.4854141756962,3.18379071691409e-05,"Day21","Primary","AvM",NA,NA
"110","PGEN_.00g247890",4.37431057075673,0.0151966189636416,"Day21","Primary","AvM",NA,NA
"111","PGEN_.00g248050",-8.24226232823523,0.0393735171571936,"Day21","Primary","AvM",NA,NA
"112","PGEN_.00g249540",-2.43506722772219,0.0472409315354201,"Day21","Primary","AvM","Q5ZIG2","Pre-mRNA-splicing factor SLU7"
"113","PGEN_.00g254130",7.91810246598432,0.000400580942965157,"Day21","Primary","AvM",NA,NA
"114","PGEN_.00g254720",9.27467358857312,0.0107795377512324,"Day21","Primary","AvM",NA,NA
"115","PGEN_.00g266130",-20.5443188187001,3.31648664548363e-09,"Day21","Primary","AvM","Q5XWD5","Cobalamin binding intrinsic factor (Gastric intrinsic factor) (Intrinsic factor) (IF) (INF) (Pancreatic intrinsic factor)"
"116","PGEN_.00g270000",5.46958593942443,0.0440130726140429,"Day21","Primary","AvM","Q8LAN3","Probable prolyl 4-hydroxylase 4 (AtP4H4) (EC 1.14.11.2)"
"117","PGEN_.00g272710",5.92217247504895,0.00602471359728568,"Day21","Primary","AvM","B3EWZ3","Coadhesin (Fragment)"
"118","PGEN_.00g273360",5.67218199845928,0.0176733006509247,"Day21","Primary","AvM",NA,NA
"119","PGEN_.00g275670",8.78239867714665,0.0114960636082625,"Day21","Primary","AvM",NA,NA
"120","PGEN_.00g276360",5.31083787250226,0.0157520321044333,"Day21","Primary","AvM","A1A547","Peptidoglycan recognition protein 3 (Peptidoglycan recognition protein I-alpha) (PGLYRPIalpha) (PGRP-I-alpha) (Peptidoglycan recognition protein intermediate alpha)"
"121","PGEN_.00g279590",8.34937447919411,0.0163780583544928,"Day21","Primary","AvM","Q8SPI0","Apolipoprotein D (Apo-D) (ApoD)"
"122","PGEN_.00g279610",-9.33539249386072,0.0351796863900838,"Day21","Primary","AvM",NA,NA
"123","PGEN_.00g281940",9.74233659749618,0.000837503867990445,"Day21","Primary","AvM",NA,NA
"124","PGEN_.00g281950",3.16540733301657,0.00826254363440888,"Day21","Primary","AvM",NA,NA
"125","PGEN_.00g282850",3.41866599060101,0.0235742356954378,"Day21","Primary","AvM","Q5TJF5","Estradiol 17-beta-dehydrogenase 8 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 8) (17-beta-HSD 8) (3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit) (KAR alpha subunit) (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.-) (Testosterone 17-beta-dehydrogenase 8) (EC 1.1.1.239)"
"126","PGEN_.00g284500",5.40415559922426,0.0496021443927215,"Day21","Primary","AvM",NA,NA
"127","PGEN_.00g286650",2.50473694293241,0.0341507431015122,"Day21","Primary","AvM","Q00719","O-methyltransferase MdmC (EC 2.1.1.-)"
"128","PGEN_.00g286740",6.35859366151286,0.00589161247280517,"Day21","Primary","AvM",NA,NA
"129","PGEN_.00g291230",-19.4711478418625,7.06251382694963e-06,"Day21","Primary","AvM",NA,NA
"130","PGEN_.00g293880",6.10782274531673,0.0206999766604056,"Day21","Primary","AvM",NA,NA
"131","PGEN_.00g295020",-17.5957516780302,0.000509709753236485,"Day21","Primary","AvM",NA,NA
"132","PGEN_.00g299010",7.84656577531935,0.0183718855933199,"Day21","Primary","AvM",NA,NA
"133","PGEN_.00g303310",-2.42333416322323,0.00268856314054817,"Day21","Primary","AvM","P49760","Dual specificity protein kinase CLK2 (EC 2.7.12.1) (CDC-like kinase 2)"
"134","PGEN_.00g305460",9.11133903775106,0.00281518421226809,"Day21","Primary","AvM",NA,NA
"135","PGEN_.00g306170",5.47052604462607,0.00442719484446129,"Day21","Primary","AvM",NA,NA
"136","PGEN_.00g313880",6.11376671280643,0.0206999766604056,"Day21","Primary","AvM",NA,NA
"137","PGEN_.00g313910",-9.98768568055073,0.00401073464969361,"Day21","Primary","AvM",NA,NA
"138","PGEN_.00g316620",-2.87507067287921,0.00918409420709195,"Day21","Second","AvM","Q8BK67","Protein RCC2"
"139","PGEN_.00g316680",-7.0336334476628,0.0183718855933199,"Day21","Primary","AvM",NA,NA
"140","PGEN_.00g318520",-7.09325957941975,0.0223402621939493,"Day21","Primary","AvM",NA,NA
"141","PGEN_.00g323810",-10.9249192474445,0.0284137784727393,"Day21","Primary","AvM",NA,NA
"142","PGEN_.00g325090",6.121537677495,0.00629198759426207,"Day21","Primary","AvM","Q6ZS10","C-type lectin domain family 17, member A (Prolectin)"
"143","PGEN_.00g327850",7.23918326832711,0.00500183343423466,"Day21","Primary","AvM","Q60648","Ganglioside GM2 activator (Cerebroside sulfate activator protein) (GM2-AP) (Sphingolipid activator protein 3) (SAP-3)"
"144","PGEN_.00g332570",-8.25769876313743,0.0117508686348303,"Day21","Primary","AvM","B3EWZ3","Coadhesin (Fragment)"
"145","PGEN_.00g333460",-13.7481426774471,1.21278465968559e-05,"Day21","Primary","AvM",NA,NA
"146","PGEN_.00g339710",8.62143743591393,0.00403485242184918,"Day21","Primary","AvM",NA,NA
"147","PGEN_.00g340090",9.32308140770948,0.0145455141996355,"Day21","Primary","AvM","A6H584","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)"
"148","PGEN_.00g340250",-11.8152405027495,0.00268856314054817,"Day21","Primary","AvM",NA,NA
"149","PGEN_.00g340260",-11.5800676304415,0.028169999303515,"Day21","Primary","AvM",NA,NA
"150","PGEN_.00g340610",-11.8159025902218,0.0012337974268282,"Day21","Primary","AvM","Q17043","Aplysianin-A"
"151","PGEN_.00g345120",6.25864080858355,0.0168273072343713,"Day21","Primary","AvM",NA,NA
"152","PGEN_.00g345340",5.5590646228281,0.0321311612195352,"Day21","Primary","AvM",NA,NA
"153","PGEN_.00g345620",5.08741204293723,0.000732834828670346,"Day21","Primary","AvM","Q66PG1","LARGE xylosyl- and glucuronyltransferase 2 (EC 2.4.-.-) (Glycosyltransferase-like 1B) [Includes: Xylosyltransferase LARGE2 (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE2 (EC 2.4.1.-)]"
"154","PGEN_.00g345680",8.42490376660788,0.00295430821359244,"Day21","Primary","AvM","Q28944","Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain]"
"155","PGEN_.00g348220",6.22904604469097,0.0135834091681296,"Day21","Primary","AvM","Q9ES87","Prostasin (EC 3.4.21.-) (Channel-activating protease 1) (CAP1) (Serine protease 8) [Cleaved into: Prostasin light chain; Prostasin heavy chain]"
"156","PGEN_.00g348570",6.14016666298557,0.0163780583544928,"Day21","Primary","AvM","Q9ES87","Prostasin (EC 3.4.21.-) (Channel-activating protease 1) (CAP1) (Serine protease 8) [Cleaved into: Prostasin light chain; Prostasin heavy chain]"
"157","PGEN_.00g348850",5.22782834340701,0.0350897609913575,"Day21","Primary","AvM","Q12913","Receptor-type tyrosine-protein phosphatase eta (Protein-tyrosine phosphatase eta) (R-PTP-eta) (EC 3.1.3.48) (Density-enhanced phosphatase 1) (DEP-1) (HPTP eta) (Protein-tyrosine phosphatase receptor type J) (R-PTP-J) (CD antigen CD148)"
